timestamp,received (K packets/s),sent (K packets/s),delivered (K packets/s),anomaly%,annotations
04:58:09,0.0341,-0.029,0.0341,-,-
04:59:00,0.0314,-0.0271,0.0314,-,-
04:59:51,0.0331,-0.0279,0.0331,-,-
05:00:42,0.0323,-0.0274,0.0323,-,-
05:01:33,0.2419,-0.0937,0.2419,-,-
05:02:24,0.2619,-0.1005,0.2619,-,-
05:03:15,0.0339,-0.0288,0.0339,-,-
05:04:06,0.033,-0.0286,0.033,-,-
05:04:57,0.034,-0.0282,0.034,-,-
05:05:48,0.034,-0.0286,0.034,-,-
05:06:39,0.0326,-0.0281,0.0326,-,-
05:07:30,0.0331,-0.0282,0.0331,-,-
05:08:21,0.0337,-0.0284,0.0337,-,-
05:09:12,0.033,-0.0282,0.033,-,-
05:10:03,0.0344,-0.0291,0.0344,-,-
05:10:54,0.0339,-0.0285,0.0339,-,-
05:11:45,0.0328,-0.0283,0.0328,-,-
05:12:36,0.0335,-0.0288,0.0335,-,-
05:13:27,0.0342,-0.0291,0.0342,-,-
05:14:18,0.0339,-0.0288,0.0339,-,-
05:15:09,0.033,-0.0286,0.033,-,-
05:16:00,0.0346,-0.0292,0.0346,-,-
05:16:51,0.0342,-0.0287,0.0342,-,-
05:17:42,0.034,-0.0289,0.034,-,-
05:18:33,0.034,-0.0288,0.034,-,-
05:19:24,0.0335,-0.0287,0.0335,-,-
05:20:15,0.033,-0.0285,0.033,-,-
05:21:06,0.0658,-0.0382,0.0658,-,-
05:21:57,0.3418,-0.1238,0.3418,-,-
05:22:48,0.099,-0.0498,0.099,-,-
05:23:39,0.034,-0.0287,0.034,-,-
05:24:30,0.0335,-0.0277,0.0335,-,-
05:25:21,0.0327,-0.0274,0.0327,-,-
05:26:12,0.0321,-0.0274,0.0321,-,-
05:27:03,0.033,-0.0277,0.033,-,-
05:27:54,0.0315,-0.027,0.0315,-,-
05:28:45,0.0329,-0.0279,0.0329,-,-
05:29:36,0.0334,-0.028,0.0334,-,-
05:30:27,0.0325,-0.0275,0.0325,-,-
05:31:18,0.0319,-0.0272,0.0319,-,-
05:32:09,0.033,-0.0276,0.033,-,-
05:33:00,0.0329,-0.0279,0.0329,-,-
05:33:51,0.0321,-0.0271,0.0321,-,-
05:34:42,0.0324,-0.0272,0.0324,-,-
05:35:33,0.0319,-0.0272,0.0319,-,-
05:36:24,0.0319,-0.0274,0.0319,-,-
05:37:15,0.033,-0.0277,0.033,-,-
05:38:06,0.0328,-0.0274,0.0328,-,-
05:38:57,0.0312,-0.0265,0.0312,-,-
05:39:48,0.0326,-0.027,0.0326,-,-
05:40:39,0.0335,-0.0278,0.0335,-,-
05:41:30,0.1717,-0.0864,0.1717,-,-
05:42:21,0.7012,-0.2567,0.7012,-,-
05:43:12,1.1492,-0.3772,1.1492,-,-
05:44:03,0.0328,-0.0276,0.0328,-,-
05:44:54,0.0321,-0.0276,0.0321,-,-
05:45:45,0.0328,-0.0274,0.0328,-,-
05:46:36,0.0328,-0.0278,0.0328,-,-
05:47:27,0.0325,-0.0279,0.0325,-,-
05:48:18,0.0323,-0.0277,0.0323,-,-
05:49:09,0.0325,-0.0277,0.0325,-,-
05:50:00,0.0313,-0.0265,0.0313,-,-
05:50:51,0.0333,-0.0278,0.0333,-,-
05:51:42,0.034,-0.0281,0.034,-,-
05:52:33,0.0334,-0.0281,0.0334,-,-
05:53:24,0.0332,-0.0282,0.0332,-,-
05:54:15,0.0338,-0.0285,0.0338,-,-
05:55:06,0.0336,-0.0286,0.0336,-,-
05:55:57,0.032,-0.0275,0.032,-,-
05:56:48,0.033,-0.0277,0.033,-,-
05:57:39,0.0322,-0.0272,0.0322,-,-
05:58:30,0.0327,-0.0273,0.0327,-,-
05:59:21,0.0336,-0.028,0.0336,-,-
06:00:12,0.0333,-0.0282,0.0333,-,-
06:01:03,0.0332,-0.0285,0.0332,-,-
06:01:54,0.044,-0.0376,0.044,-,-
06:02:45,0.2364,-0.0921,0.2364,-,-
06:03:36,0.1392,-0.0605,0.1392,-,-
06:04:27,0.033,-0.0281,0.033,-,-
06:05:18,0.0342,-0.0286,0.0342,-,-
06:06:09,0.0336,-0.0283,0.0336,-,-
06:07:00,0.0333,-0.0283,0.0333,-,-
06:07:51,0.034,-0.0288,0.034,-,-
06:08:42,0.0331,-0.0286,0.0331,-,-
06:09:33,0.0335,-0.0287,0.0335,-,-
06:10:24,0.034,-0.0286,0.034,-,-
06:11:15,0.0331,-0.0279,0.0331,-,-
06:12:06,0.0315,-0.027,0.0315,-,-
06:12:57,0.0332,-0.0278,0.0332,-,-
06:13:48,0.0325,-0.0275,0.0325,-,-
06:14:39,0.0323,-0.0275,0.0323,-,-
06:15:30,0.0328,-0.0276,0.0328,-,-
06:16:21,0.0328,-0.0276,0.0328,-,-
06:17:12,0.0326,-0.028,0.0326,-,-
06:18:03,0.0349,-0.0297,0.0349,-,-
06:18:54,0.0329,-0.0273,0.0329,-,-
06:19:45,0.0326,-0.0278,0.0326,-,-
06:20:36,0.0337,-0.0285,0.0337,-,-
06:21:27,0.0387,-0.0327,0.0387,-,-
06:22:18,0.1154,-0.0527,0.1154,-,-
06:23:09,0.245,-0.0791,0.245,-,-
06:24:00,0.0332,-0.0278,0.0332,-,-
06:24:51,0.0319,-0.0276,0.0319,-,-
06:25:42,0.0338,-0.029,0.0338,-,-
06:26:33,0.0382,-0.0324,0.0382,-,-
06:27:24,0.0377,-0.0323,0.0377,-,-
06:28:15,0.0311,-0.0278,0.0311,-,-
06:29:06,0.0264,-0.026,0.0264,-,-
06:29:57,0.0296,-0.027,0.0296,-,-
06:30:48,0.029,-0.0267,0.029,-,-
06:31:39,0.0283,-0.0262,0.0283,-,-
06:32:30,0.0549,-0.0484,0.0549,-,-
06:33:21,0.2635,-0.2304,0.2635,-,-
06:34:12,0.4881,-0.429,0.4881,-,-
06:35:03,0.0363,-0.0369,0.0363,-,-
06:35:54,0.0286,-0.0279,0.0286,-,-
06:36:45,0.0272,-0.0267,0.0272,-,-
06:37:36,0.0268,-0.0265,0.0268,-,-
06:38:27,0.0269,-0.0265,0.0269,-,-
06:39:18,0.0272,-0.0267,0.0272,-,-
06:40:09,0.027,-0.0265,0.027,-,-
06:41:00,0.0267,-0.0255,0.0267,-,-
06:41:51,0.0262,-0.0254,0.0262,-,-
06:42:42,0.2487,-0.1921,0.2487,-,-
06:43:33,0.8848,-0.3332,0.8848,-,-
06:44:24,1.5361,-0.4544,1.5361,-,-
06:45:15,1.7219,-0.5306,1.7219,-,-
06:46:06,1.3634,-0.475,1.3634,-,-
06:46:57,1.5678,-0.5158,1.5678,-,-
06:47:48,1.8301,-0.5823,1.8301,-,-
06:48:39,1.4715,-0.4688,1.4715,-,-
06:49:30,0.6355,-0.2125,0.6355,-,-
06:50:21,0.0262,-0.0261,0.0262,-,-
06:51:12,0.0262,-0.0263,0.0262,-,-
06:52:03,0.0263,-0.0264,0.0263,-,-
06:52:54,0.026,-0.0261,0.026,-,-
06:53:45,0.0255,-0.0255,0.0255,-,-
06:54:36,0.0253,-0.0251,0.0253,-,-
06:55:27,0.0252,-0.025,0.0252,-,-
06:56:18,0.0252,-0.0252,0.0252,-,-
06:57:09,0.0252,-0.0253,0.0252,-,-
06:58:00,0.0255,-0.0255,0.0255,-,-
06:58:51,0.0251,-0.0253,0.0251,-,-
06:59:42,0.0254,-0.0255,0.0254,-,-
07:00:33,0.0254,-0.0255,0.0254,-,-
07:01:24,0.0249,-0.0251,0.0249,-,-
07:02:15,0.0246,-0.0247,0.0246,-,-
07:03:06,0.1179,-0.0574,0.1179,-,-
07:03:57,0.9099,-0.3372,0.9099,-,-
07:04:48,0.864,-0.3135,0.864,-,-
07:05:39,0.3109,-0.1229,0.3109,-,-
07:06:30,0.0254,-0.0254,0.0254,-,-
07:07:21,0.0252,-0.0251,0.0252,-,-
07:08:12,0.0251,-0.0248,0.0251,-,-
07:09:03,0.0251,-0.0252,0.0251,-,-
07:09:54,0.0252,-0.025,0.0252,-,-
07:10:45,0.0252,-0.0249,0.0252,-,-
07:11:36,0.0254,-0.0253,0.0254,-,-
07:12:27,0.0261,-0.0262,0.0261,-,-
07:13:18,0.0262,-0.0265,0.0262,-,-
07:14:09,0.0252,-0.0257,0.0252,-,-
07:15:00,0.0254,-0.0252,0.0254,-,-
07:15:51,0.0255,-0.0255,0.0255,-,-
07:16:42,0.0252,-0.0256,0.0252,-,-
07:17:33,0.0248,-0.0249,0.0248,-,-
07:18:24,0.0249,-0.0248,0.0249,-,-
07:19:15,0.0255,-0.0256,0.0255,-,-
07:20:06,0.0253,-0.0254,0.0253,-,-
07:20:57,0.0253,-0.0254,0.0253,-,-
07:21:48,0.0251,-0.0254,0.0251,-,-
07:22:39,0.0252,-0.0254,0.0252,-,-
07:23:30,0.2034,-0.0828,0.2034,-,-
07:24:21,0.2569,-0.0999,0.2569,-,-
07:25:12,0.0255,-0.0251,0.0255,-,-
07:26:03,0.0252,-0.025,0.0252,-,-
07:26:54,0.025,-0.025,0.025,-,-
07:27:45,0.0252,-0.0254,0.0252,-,-
07:28:36,0.0253,-0.0255,0.0253,-,-
07:29:27,0.0253,-0.0254,0.0253,-,-
07:30:18,0.0253,-0.0253,0.0253,-,-
