timestamp,load1 (threads),load5 (threads),load15 (threads),anomaly%,annotations
1781906493000,0.1096875,0.205,0.1464,-,-
1781906544000,0.1192,0.1922,0.141,-,-
1781906595000,0.1248875,0.179,0.14,-,-
1781906646000,0.1089887,0.1663636,0.1372727,-,-
1781906697000,0.0448876,0.137,0.1278876,-,-
1781906748000,0.016,0.1134,0.117,-,-
1781906799000,0.0520996,0.1072249,0.1111124,-,-
1781906850000,0.096775,0.109,0.11,-,-
1781906901000,0.1781409,0.1263636,0.1136364,-,-
1781906952000,0.1989101,0.142,0.117,-,-
1781907003000,0.0892425,0.119,0.107,-,-
1781907054000,0.08063,0.11109,0.1,-,-
1781907105000,0.163,0.124,0.103,-,-
1781907156000,0.2321591,0.1527273,0.1136364,-,-
1781907207000,0.0934875,0.1256,0.1028875,-,-
1781907258000,0.079,0.113,0.0968875,-,-
1781907309000,0.0532,0.101,0.09,-,-
1781907360000,0.036,0.0868876,0.086,-,-
1781907411000,0.1117159,0.0990909,0.09,-,-
1781907462000,0.0448875,0.0814875,0.083,-,-
1781907513000,0.016,0.066,0.08,-,-
1781907564000,0.0058876,0.053,0.074,-,-
1781907615000,0.1388,0.07645,0.0811125,-,-
1781907666000,0.1957933,0.1072727,0.09,-,-
1781907717000,0.1176,0.0966,0.09,-,-
1781907768000,0.0702875,0.085,0.087,-,-
1781907819000,0.1401751,0.0992,0.089,-,-
1781907870000,0.0928875,0.0908875,0.09,-,-
1781907921000,0.1377159,0.0990909,0.0936364,-,-
1781907972000,0.1492625,0.1126,0.093,-,-
1781908023000,0.061,0.091,0.088,-,-
1781908074000,0.10291,0.095,0.087,-,-
1781908125000,0.0798876,0.09,0.09,-,-
1781908176000,0.032625,0.0736364,0.08,-,-
1781908227000,0.012,0.0606,0.0796,-,-
1781908278000,0.001,0.0494,0.07,-,-
1781908329000,0.1108875,0.0692,0.08,-,-
1781908380000,0.0538875,0.0578875,0.073,-,-
1781908431000,0.1334545,0.0712727,0.0765455,-,-
1781908482000,0.7056373,0.2307374,0.1321125,-,-
1781908533000,0.9298171,0.3742724,0.1877575,-,-
1781908584000,0.7905251,0.4222,0.2132,-,-
1781908635000,0.3856625,0.3698875,0.204,-,-
1781908686000,0.1940679,0.317375,0.1919204,-,-
1781908737000,0.0964876,0.272,0.1818876,-,-
1781908788000,0.1562,0.2552875,0.1788875,-,-
1781908839000,0.1826851,0.2488875,0.17991,-,-
1781908890000,0.079,0.208,0.169,-,-
1781908941000,0.4216928,0.2773976,0.1944659,-,-
1781908992000,0.2283751,0.2514875,0.187,-,-
1781909043000,0.214175,0.2404,0.184,-,-
1781909094000,0.1114,0.2058876,0.1760876,-,-
1781909145000,0.084,0.1838875,0.17,-,-
1781909196000,0.0335341,0.1509091,0.16,-,-
1781909247000,0.041,0.13,0.15,-,-
1781909298000,0.0678,0.1234,0.1488875,-,-
1781909349000,0.0598875,0.1118875,0.141,-,-
1781909400000,0.0258875,0.092,0.132,-,-
1781909451000,0.010625,0.0745455,0.1218182,-,-
1781909502000,0.0228997,0.0641125,0.1121125,-,-
1781909553000,0.1447751,0.093,0.1194,-,-
1781909604000,0.0877975,0.0818875,0.11,-,-
1781909655000,0.115,0.088,0.11,-,-
1781909706000,0.0689886,0.0789886,0.1017159,-,-
1781909757000,0.027,0.0648875,0.09,-,-
1781909808000,0.0382426,0.0602426,0.09,-,-
1781909859000,0.045,0.0568875,0.0892,-,-
1781909910000,0.018,0.047,0.08,-,-
1781909961000,0.0089091,0.0372727,0.0785455,-,-
1781910012000,0.1974875,0.083,0.09,-,-
1781910063000,0.1048875,0.076,0.0894,-,-
1781910114000,0.044,0.063,0.08,-,-
1781910165000,0.018,0.051,0.08,-,-
1781910216000,0.0045455,0.04,0.07,-,-
1781910267000,0,0.03,0.07,-,-
1781910318000,0,0.024,0.06,-,-
1781910369000,0.0360875,0.028,0.06,-,-
1781910420000,0.125775,0.0488875,0.064,-,-
1781910471000,0.1378978,0.0653523,0.07,-,-
1781910522000,0.1124875,0.066,0.07,-,-
1781910573000,0.0492425,0.054,0.066,-,-
1781910624000,0.019,0.044,0.06,-,-
1781910675000,0.0387997,0.0424499,0.0621125,-,-
1781910726000,0.0908069,0.0554545,0.06,-,-
1781910777000,0.0398,0.0458,0.06,-,-
1781910828000,0.110175,0.064,0.06,-,-
1781910879000,0.204175,0.0932,0.071,-,-
1781910930000,0.1428875,0.093,0.073,-,-
1781910981000,0.19117,0.1112158,0.0801022,-,-
1781911032000,0.1910875,0.123,0.087,-,-
1781911083000,0.1358875,0.12,0.09,-,-
1781911134000,0.0877976,0.107,0.086,-,-
1781911185000,0.987,0.317,0.158,-,-
1781911236000,1.0398071,0.4624432,0.2172727,-,-
1781911287000,0.4324626,0.3874875,0.202,-,-
1781911338000,0.1861749,0.3242875,0.1868875,-,-
1781911389000,0.252375,0.3186875,0.1898,-,-
1781911440000,0.2645748,0.3083374,0.1921125,-,-
1781911491000,0.1207864,0.2609091,0.1781818,-,-
1781911542000,0.049,0.218,0.168,-,-
1781911593000,0.0679,0.197355,0.1621125,-,-
1781911644000,0.034,0.165,0.155,-,-
1781911695000,0.014,0.14,0.146,-,-
1781911746000,0.0018182,0.112625,0.1354545,-,-
1781911797000,0,0.0936,0.125,-,-
1781911848000,0,0.077,0.116,-,-
