timestamp,full 10 (%),full 60 (%),full 300 (%),anomaly%,annotations
03:14:27,0,0,0,-,-
03:15:18,0,0,0,-,-
03:16:09,0,0,0,-,-
03:17:00,0,0,0,-,-
03:17:51,0,0,0,-,-
03:18:42,0,0,0,-,-
03:19:33,0,0,0,-,-
03:20:24,0,0,0,-,-
03:21:15,0,0,0,-,-
03:22:06,0,0,0,-,-
03:22:57,0,0,0,-,-
03:23:48,0,0,0,-,-
03:24:39,0,0,0,-,-
03:25:30,0,0,0,-,-
03:26:21,0,0,0,-,-
03:27:12,0,0,0,-,-
03:28:03,0,0,0,-,-
03:28:54,0,0,0,-,-
03:29:45,0,0,0,-,-
03:30:36,0,0,0,-,-
03:31:27,0,0,0,-,-
03:32:18,0,0,0,-,-
03:33:09,0,0,0,-,-
03:34:00,0,0,0,-,-
03:34:51,0,0,0,-,-
03:35:42,0,0,0,-,-
03:36:33,0,0,0,-,-
03:37:24,0,0,0,-,-
03:38:15,0,0,0,-,-
03:39:06,0,0,0,-,-
03:39:57,0,0,0,-,-
03:40:48,0,0,0,-,-
03:41:39,0,0,0,-,-
03:42:30,0,0,0,-,-
03:43:21,0,0,0,-,-
03:44:12,0,0,0,-,-
03:45:03,0,0,0,-,-
03:45:54,0,0,0,-,-
03:46:45,0,0,0,-,-
03:47:36,0,0,0,-,-
03:48:27,0,0,0,-,-
03:49:18,0,0,0,-,-
03:50:09,0,0,0,-,-
03:51:00,0,0,0,-,-
03:51:51,0,0,0,-,-
03:52:42,0,0,0,-,-
03:53:33,0,0,0,-,-
03:54:24,0,0,0,-,-
03:55:15,0,0,0,-,-
03:56:06,0,0,0,-,-
03:56:57,0,0,0,-,-
03:57:48,0,0,0,-,-
03:58:39,0,0,0,-,-
03:59:30,0,0,0,-,-
04:00:21,0,0,0,-,-
04:01:12,0,0,0,-,-
04:02:03,0,0,0,-,-
04:02:54,0,0,0,-,-
04:03:45,0,0,0,-,-
04:04:36,0,0,0,-,-
04:05:27,0,0,0,-,-
04:06:18,0,0,0,-,-
04:07:09,0,0,0,-,-
04:08:00,0,0,0,-,-
04:08:51,0,0,0,-,-
04:09:42,0,0,0,-,-
04:10:33,0,0,0,-,-
04:11:24,0,0,0,-,-
04:12:15,0,0,0,-,-
04:13:06,0,0,0,-,-
04:13:57,0,0,0,-,-
04:14:48,0,0,0,-,-
04:15:39,0,0,0,-,-
04:16:30,0,0,0,-,-
04:17:21,0,0,0,-,-
04:18:12,0,0,0,-,-
04:19:03,0,0,0,-,-
04:19:54,0,0,0,-,-
04:20:45,0,0,0,-,-
04:21:36,0.0755,0.0212,0.0036,-,-
04:22:27,0.0073,0.0241,0,-,-
04:23:18,0,0.0039,0,-,-
04:24:09,0,0,0,-,-
04:25:00,0.1274,0.0562,0.0096,-,-
04:25:51,0,0.0242,0.0008,-,-
04:26:42,0,0.004,0,-,-
04:27:33,0,0,0,-,-
04:28:24,0,0,0,-,-
04:29:15,0,0,0,-,-
04:30:06,0,0,0,-,-
04:30:57,0,0,0,-,-
04:31:48,0,0,0,-,-
04:32:39,0,0,0,-,-
04:33:30,0,0,0,-,-
04:34:21,0,0,0,-,-
04:35:12,0,0,0,-,-
04:36:03,0,0,0,-,-
04:36:54,0,0,0,-,-
04:37:45,0,0,0,-,-
04:38:36,0,0,0,-,-
04:39:27,0,0,0,-,-
04:40:18,0,0,0,-,-
04:41:09,0,0,0,-,-
04:42:00,0,0,0,-,-
04:42:51,0,0,0,-,-
04:43:42,0,0,0,-,-
04:44:33,0,0,0,-,-
04:45:24,0,0,0,-,-
04:46:15,0,0,0,-,-
04:47:06,0,0,0,-,-
04:47:57,0,0,0,-,-
04:48:48,0,0,0,-,-
04:49:39,0,0,0,-,-
04:50:30,0,0,0,-,-
04:51:21,0,0,0,-,-
04:52:12,0,0,0,-,-
04:53:03,0,0,0,-,-
04:53:54,0,0,0,-,-
04:54:45,0,0,0,-,-
04:55:36,0,0,0,-,-
04:56:27,0,0,0,-,-
04:57:18,0,0,0,-,-
04:58:09,0,0,0,-,-
04:59:00,0,0,0,-,-
04:59:51,0,0,0,-,-
05:00:42,0,0,0,-,-
05:01:33,0,0,0,-,-
05:02:24,0,0,0,-,-
05:03:15,0,0,0,-,-
05:04:06,0,0,0,-,-
05:04:57,0,0,0,-,-
05:05:48,0,0,0,-,-
05:06:39,0,0,0,-,-
05:07:30,0,0,0,-,-
05:08:21,0,0,0,-,-
05:09:12,0,0,0,-,-
05:10:03,0,0,0,-,-
05:10:54,0,0,0,-,-
05:11:45,0,0,0,-,-
05:12:36,0,0,0,-,-
05:13:27,0,0,0,-,-
05:14:18,0,0,0,-,-
05:15:09,0,0,0,-,-
05:16:00,0,0,0,-,-
05:16:51,0,0,0,-,-
05:17:42,0,0,0,-,-
05:18:33,0,0,0,-,-
05:19:24,0,0,0,-,-
05:20:15,0,0,0,-,-
05:21:06,0,0,0,-,-
05:21:57,0,0,0,-,-
05:22:48,0,0,0,-,-
05:23:39,0,0,0,-,-
05:24:30,0,0,0,-,-
05:25:21,0,0,0,-,-
05:26:12,0,0,0,-,-
05:27:03,0,0,0,-,-
05:27:54,0,0,0,-,-
05:28:45,0,0,0,-,-
05:29:36,0,0,0,-,-
05:30:27,0,0,0,-,-
05:31:18,0,0,0,-,-
05:32:09,0,0,0,-,-
05:33:00,0,0,0,-,-
05:33:51,0,0,0,-,-
05:34:42,0,0,0,-,-
05:35:33,0,0,0,-,-
05:36:24,0,0,0,-,-
05:37:15,0,0,0,-,-
05:38:06,0,0,0,-,-
05:38:57,0,0,0,-,-
05:39:48,0,0,0,-,-
05:40:39,0,0,0,-,-
05:41:30,0,0,0,-,-
05:42:21,0,0,0,-,-
05:43:12,0,0,0,-,-
05:44:03,0,0,0,-,-
05:44:54,0,0,0,-,-
05:45:45,0,0,0,-,-
05:46:36,0,0,0,-,-
05:47:27,0,0,0,-,-
05:48:18,0,0,0,-,-
05:49:09,0,0,0,-,-
05:50:00,0,0,0,-,-
05:50:51,0,0,0,-,-
05:51:42,0,0,0,-,-
05:52:33,0,0,0,-,-
05:53:24,0,0,0,-,-
05:54:15,0,0,0,-,-
05:55:06,0,0,0,-,-
05:55:57,0,0,0,-,-
05:56:48,0,0,0,-,-
05:57:39,0,0,0,-,-
05:58:30,0,0,0,-,-
05:59:21,0,0,0,-,-
06:00:12,0,0,0,-,-
06:01:03,0,0,0,-,-
06:01:54,0,0,0,-,-
06:02:45,0,0,0,-,-
06:03:36,0,0,0,-,-
06:04:27,0,0,0,-,-
06:05:18,0,0,0,-,-
06:06:09,0,0,0,-,-
06:07:00,0,0,0,-,-
06:07:51,0,0,0,-,-
06:08:42,0,0,0,-,-
06:09:33,0,0,0,-,-
06:10:24,0,0,0,-,-
06:11:15,0,0,0,-,-
06:12:06,0,0,0,-,-
06:12:57,0,0,0,-,-
06:13:48,0,0,0,-,-
06:14:39,0,0,0,-,-
06:15:30,0,0,0,-,-
06:16:21,0,0,0,-,-
06:17:12,0,0,0,-,-
06:18:03,0,0,0,-,-
06:18:54,0,0,0,-,-
06:19:45,0,0,0,-,-
06:20:36,0,0,0,-,-
06:21:27,0,0,0,-,-
06:22:18,0,0,0,-,-
06:23:09,0,0,0,-,-
06:24:00,0,0,0,-,-
06:24:51,0,0,0,-,-
06:25:42,0,0,0,-,-
06:26:33,0,0,0,-,-
06:27:24,0,0,0,-,-
06:28:15,0,0,0,-,-
06:29:06,0,0,0,-,-
06:29:57,0,0,0,-,-
06:30:48,0,0,0,-,-
06:31:39,0,0,0,-,-
06:32:30,0,0,0,-,-
06:33:21,0.1206,0.0519,0.0073,-,-
06:34:12,0.0004,0.0255,0.0004,-,-
06:35:03,0.56,0.2587,0.0611,-,-
06:35:54,0.0771,0.2815,0.1075,-,-
06:36:45,0,0.1153,0.0815,-,-
06:37:36,0,0.0414,0.0624,-,-
06:38:27,0,0.0115,0.0488,-,-
06:39:18,0,0,0.0367,-,-
06:40:09,0,0,0.0242,-,-
06:41:00,0,0,0.0128,-,-
06:41:51,0,0,0.0007,-,-
06:42:42,0,0,0,-,-
06:43:33,0,0,0,-,-
06:44:24,0,0,0,-,-
06:45:15,0,0,0,-,-
06:46:06,0,0,0,-,-
06:46:57,0,0,0,-,-
06:47:48,0,0,0,-,-
06:48:39,0,0,0,-,-
06:49:30,0,0,0,-,-
06:50:21,0,0,0,-,-
06:51:12,0,0,0,-,-
06:52:03,0,0,0,-,-
06:52:54,0,0,0,-,-
06:53:45,0,0,0,-,-
06:54:36,0,0,0,-,-
06:55:27,0,0,0,-,-
06:56:18,0,0,0,-,-
06:57:09,0,0,0,-,-
06:58:00,0,0,0,-,-
06:58:51,0,0,0,-,-
06:59:42,0,0,0,-,-
07:00:33,0,0,0,-,-
07:01:24,0,0,0,-,-
07:02:15,0,0,0,-,-
07:03:06,0,0,0,-,-
07:03:57,0.0739,0.0373,0.0031,-,-
07:04:48,0,0.0095,0,-,-
07:05:39,0.0753,0.0397,0.0031,-,-
07:06:30,0,0.0142,0,-,-
07:07:21,0,0,0,-,-
07:08:12,0,0,0,-,-
07:09:03,0,0,0,-,-
07:09:54,0,0,0,-,-
07:10:45,0,0,0,-,-
07:11:36,0,0,0,-,-
07:12:27,0.0349,0.016,0,-,-
07:13:18,0,0.0004,0,-,-
07:14:09,0,0,0,-,-
07:15:00,0,0,0,-,-
07:15:51,0,0,0,-,-
07:16:42,0,0,0,-,-
07:17:33,0,0,0,-,-
07:18:24,0,0,0,-,-
07:19:15,0,0,0,-,-
07:20:06,0,0,0,-,-
07:20:57,0,0,0,-,-
07:21:48,0,0,0,-,-
07:22:39,0,0,0,-,-
07:23:30,0,0,0,-,-
07:24:21,0,0,0,-,-
07:25:12,0,0,0,-,-
07:26:03,0,0,0,-,-
07:26:54,0,0,0,-,-
07:27:45,0,0,0,-,-
07:28:36,0,0,0,-,-
07:29:27,0,0,0,-,-
07:30:18,0,0,0,-,-
