timestamp,timestamp,anomaly%,annotations
06:00:09,1.4,-,-
06:00:18,0.5,-,-
06:00:27,0.18,-,-
06:00:36,0.14,-,-
06:00:45,0.3,-,-
06:00:54,0.12,-,-
06:01:03,0.34,-,-
06:01:12,0.41,-,-
06:01:21,0.3,-,-
06:01:30,0,-,-
06:01:39,0.2,-,-
06:01:48,0.17,-,-
06:01:57,2.69,-,-
06:02:06,1.37,-,-
06:02:15,0.6,-,-
06:02:24,0.17,-,-
06:02:33,0.03,-,-
06:02:42,0.17,-,-
06:02:51,0.01,-,-
06:03:00,0.13,-,-
06:03:09,0.84,-,-
06:03:18,0.25,-,-
06:03:27,0.1,-,-
06:03:36,0.24,-,-
06:03:45,0.01,-,-
06:03:54,0.03,-,-
06:04:03,0.29,-,-
06:04:12,1.5,-,-
06:04:21,0.3,-,-
06:04:30,0.13,-,-
06:04:39,0.16,-,-
06:04:48,0.05,-,-
06:04:57,0.11,-,-
06:05:06,0.19,-,-
06:05:15,1.66,-,-
06:05:24,0.55,-,-
06:05:33,0.5,-,-
06:05:42,0.07,-,-
06:05:51,0.14,-,-
06:06:00,0.24,-,-
06:06:09,0.24,-,-
06:06:18,2.46,-,-
06:06:27,0.22,-,-
06:06:36,0.13,-,-
06:06:45,0.13,-,-
06:06:54,0.29,-,-
06:07:03,0.11,-,-
06:07:12,0.2,-,-
06:07:21,1.65,-,-
06:07:30,0.24,-,-
06:07:39,0.21,-,-
06:07:48,0.12,-,-
06:07:57,0.02,-,-
06:08:06,0.27,-,-
06:08:15,0.83,-,-
06:08:24,0.86,-,-
06:08:33,0.2,-,-
06:08:42,0.6,-,-
06:08:51,0.02,-,-
06:09:00,0.13,-,-
06:09:09,0.92,-,-
06:09:18,2.25,-,-
06:09:27,1.02,-,-
06:09:36,1.31,-,-
06:09:45,0.65,-,-
06:09:54,0.09,-,-
06:10:03,0.88,-,-
06:10:12,0.24,-,-
06:10:21,1.5,-,-
06:10:30,1.04,-,-
06:10:39,0.74,-,-
06:10:48,1.01,-,-
06:10:57,0.96,-,-
06:11:06,0.68,-,-
06:11:15,0.27,-,-
06:11:24,1.83,-,-
06:11:33,1.42,-,-
06:11:42,0.56,-,-
06:11:51,0.24,-,-
06:12:00,0.2,-,-
06:12:09,0.14,-,-
06:12:18,0.97,-,-
06:12:27,1.93,-,-
06:12:36,0.12,-,-
06:12:45,0.82,-,-
06:12:54,0.44,-,-
06:13:03,0.63,-,-
06:13:12,0.62,-,-
06:13:21,1.62,-,-
06:13:30,1.64,-,-
06:13:39,0.36,-,-
06:13:48,1.8,-,-
06:13:57,0.22,-,-
06:14:06,0.51,-,-
06:14:15,0.14,-,-
06:14:24,0.28,-,-
06:14:33,1.22,-,-
06:14:42,0.47,-,-
06:14:51,0.15,-,-
06:15:00,0.41,-,-
06:15:09,0.2,-,-
06:15:18,0.5,-,-
06:15:27,0.41,-,-
06:15:36,2.21,-,-
06:15:45,0.52,-,-
06:15:54,0.7,-,-
06:16:03,0.17,-,-
06:16:12,0.69,-,-
06:16:21,0.66,-,-
06:16:30,0.81,-,-
06:16:39,1.19,-,-
06:16:48,0.03,-,-
06:16:57,0.22,-,-
06:17:06,0.39,-,-
06:17:15,0.28,-,-
06:17:24,0.38,-,-
06:17:33,1.68,-,-
06:17:42,0.13,-,-
