timestamp,timestamp,anomaly%,annotations
06:00:09,0.8,-,-
06:00:18,0.25,-,-
06:00:27,0.1,-,-
06:00:36,0,-,-
06:00:45,0.2,-,-
06:00:54,0.12,-,-
06:01:03,0.15,-,-
06:01:12,0.26,-,-
06:01:21,0.1,-,-
06:01:30,0.11,-,-
06:01:39,0.01,-,-
06:01:48,0.13,-,-
06:01:57,2.03,-,-
06:02:06,0.71,-,-
06:02:15,0.26,-,-
06:02:24,0.03,-,-
06:02:33,0.03,-,-
06:02:42,0.05,-,-
06:02:51,0.04,-,-
06:03:00,0.01,-,-
06:03:09,0.53,-,-
06:03:18,0.13,-,-
06:03:27,0.14,-,-
06:03:36,0,-,-
06:03:45,0.03,-,-
06:03:54,0.05,-,-
06:04:03,0.12,-,-
06:04:12,1.22,-,-
06:04:21,0.12,-,-
06:04:30,0.08,-,-
06:04:39,0.03,-,-
06:04:48,0.05,-,-
06:04:57,0,-,-
06:05:06,0.03,-,-
06:05:15,1.02,-,-
06:05:24,0.27,-,-
06:05:33,0.3,-,-
06:05:42,0,-,-
06:05:51,0.07,-,-
06:06:00,0.12,-,-
06:06:09,0.11,-,-
06:06:18,1.62,-,-
06:06:27,0.18,-,-
06:06:36,0.01,-,-
06:06:45,0.1,-,-
06:06:54,0.13,-,-
06:07:03,0,-,-
06:07:12,0.16,-,-
06:07:21,0.77,-,-
06:07:30,0.23,-,-
06:07:39,0.06,-,-
06:07:48,0.01,-,-
06:07:57,0.01,-,-
06:08:06,0.22,-,-
06:08:15,0.36,-,-
06:08:24,0.57,-,-
06:08:33,0.18,-,-
06:08:42,0.37,-,-
06:08:51,0.11,-,-
06:09:00,0,-,-
06:09:09,0.92,-,-
06:09:18,1.23,-,-
06:09:27,0.63,-,-
06:09:36,1.19,-,-
06:09:45,0.64,-,-
06:09:54,0,-,-
06:10:03,0.6,-,-
06:10:12,0.13,-,-
06:10:21,0.69,-,-
06:10:30,0.74,-,-
06:10:39,0.75,-,-
06:10:48,0.76,-,-
06:10:57,0.81,-,-
06:11:06,0.46,-,-
06:11:15,0.14,-,-
06:11:24,1.3,-,-
06:11:33,1.32,-,-
06:11:42,0.43,-,-
06:11:51,0,-,-
06:12:00,0.07,-,-
06:12:09,0.04,-,-
06:12:18,0.67,-,-
06:12:27,1.28,-,-
06:12:36,0.09,-,-
06:12:45,0.69,-,-
06:12:54,0.33,-,-
06:13:03,0.2,-,-
06:13:12,0.59,-,-
06:13:21,1.32,-,-
06:13:30,0.76,-,-
06:13:39,0.25,-,-
06:13:48,1.56,-,-
06:13:57,0.17,-,-
06:14:06,0.38,-,-
06:14:15,0.03,-,-
06:14:24,0.19,-,-
06:14:33,0.7,-,-
06:14:42,0.23,-,-
06:14:51,0.09,-,-
06:15:00,0.29,-,-
06:15:09,0.07,-,-
06:15:18,0.38,-,-
06:15:27,0.18,-,-
06:15:36,1.11,-,-
06:15:45,0.49,-,-
06:15:54,0.43,-,-
06:16:03,0.12,-,-
06:16:12,0.58,-,-
06:16:21,0.35,-,-
06:16:30,0.49,-,-
06:16:39,0.52,-,-
06:16:48,0.13,-,-
06:16:57,0.03,-,-
06:17:06,0.19,-,-
06:17:15,0.2,-,-
06:17:24,0.25,-,-
06:17:33,1.29,-,-
06:17:42,0,-,-
06:17:51,0.1,-,-
06:18:00,0.13,-,-
06:18:09,0.59,-,-
06:18:18,0.31,-,-
06:18:27,0.38,-,-
06:18:36,0.75,-,-
06:18:45,0,-,-
06:18:54,0.13,-,-
06:19:03,0.65,-,-
06:19:12,0.47,-,-
06:19:21,0.02,-,-
06:19:30,0.28,-,-
06:19:39,1.29,-,-
06:19:48,0.04,-,-
06:19:57,0.22,-,-
06:20:06,0.35,-,-
06:20:15,0.05,-,-
06:20:24,0.31,-,-
06:20:33,0.22,-,-
06:20:42,1.5,-,-
06:20:51,0.09,-,-
06:21:00,0,-,-
06:21:09,0,-,-
06:21:18,0.13,-,-
06:21:27,0.1,-,-
06:21:36,0,-,-
06:21:45,0.7,-,-
06:21:54,0.24,-,-
06:22:03,3.81,-,-
06:22:12,0.38,-,-
06:22:21,0.21,-,-
06:22:30,0.13,-,-
06:22:39,0.45,-,-
06:22:48,0.62,-,-
06:22:57,0.14,-,-
06:23:06,0,-,-
06:23:15,0.24,-,-
06:23:24,0.64,-,-
06:23:33,0.33,-,-
06:23:42,0.12,-,-
06:23:51,1.11,-,-
06:24:00,0.07,-,-
06:24:09,0.05,-,-
06:24:18,0.21,-,-
06:24:27,0.22,-,-
06:24:36,0.13,-,-
06:24:45,0.39,-,-
06:24:54,0.29,-,-
06:25:03,0.65,-,-
06:25:12,0.13,-,-
06:25:21,0.21,-,-
06:25:30,0.13,-,-
06:25:39,1.48,-,-
06:25:48,1.69,-,-
06:25:57,0.03,-,-
06:26:06,0.05,-,-
06:26:15,0.23,-,-
06:26:24,0.38,-,-
06:26:33,0.17,-,-
06:26:42,0.2,-,-
06:26:51,1.34,-,-
06:27:00,0.16,-,-
06:27:09,0.35,-,-
06:27:18,0.91,-,-
06:27:27,0.07,-,-
06:27:36,0.13,-,-
06:27:45,0.44,-,-
06:27:54,1.03,-,-
06:28:03,0.17,-,-
06:28:12,0.11,-,-
06:28:21,0.21,-,-
06:28:30,0.36,-,-
06:28:39,0.49,-,-
06:28:48,0.26,-,-
06:28:57,1.17,-,-
06:29:06,0.33,-,-
06:29:15,0.08,-,-
06:29:24,0.28,-,-
06:29:33,0.03,-,-
06:29:42,0.44,-,-
06:29:51,0.37,-,-
06:30:00,1.13,-,-
06:30:09,0.23,-,-
06:30:18,0.07,-,-
06:30:27,0.28,-,-
06:30:36,0.13,-,-
06:30:45,0.67,-,-
06:30:54,0.5,-,-
06:31:03,1.85,-,-
06:31:12,0.13,-,-
06:31:21,1.28,-,-
06:31:30,0,-,-
06:31:39,0.43,-,-
06:31:48,0.22,-,-
06:31:57,0.46,-,-
06:32:06,1.67,-,-
06:32:15,0.51,-,-
06:32:24,1,-,-
06:32:33,0.14,-,-
06:32:42,16.13,-,-
06:32:51,6.28,-,-
06:33:00,3.84,-,-
06:33:09,1.26,-,-
06:33:18,0.27,-,-
06:33:27,0.29,-,-
06:33:36,0.1,-,-
06:33:45,1.22,-,-
06:33:54,2.25,-,-
06:34:03,0.57,-,-
06:34:12,0.81,-,-
06:34:21,1.73,-,-
06:34:30,31.41,-,-
06:34:39,12.6,-,-
06:34:48,-,-,-
06:34:57,10.81,-,-
06:35:06,7.67,-,-
06:35:15,5.8,-,-
06:35:24,0.23,-,-
06:35:33,0.56,-,-
06:35:42,0.8,-,-
06:35:51,0.32,-,-
06:36:00,0.21,-,-
06:36:09,1.24,-,-
06:36:18,0.25,-,-
06:36:27,0,-,-
06:36:36,0.1,-,-
06:36:45,0.62,-,-
06:36:54,0.86,-,-
06:37:03,0.65,-,-
06:37:12,1.15,-,-
06:37:21,0.21,-,-
06:37:30,0.13,-,-
06:37:39,0.9,-,-
06:37:48,0.15,-,-
06:37:57,0.08,-,-
06:38:06,1.2,-,-
06:38:15,2.16,-,-
06:38:24,0.18,-,-
06:38:33,0.05,-,-
06:38:42,0.5,-,-
06:38:51,0,-,-
06:39:00,0.13,-,-
06:39:09,0,-,-
06:39:18,0.94,-,-
06:39:27,0.05,-,-
06:39:36,0.7,-,-
06:39:45,2.58,-,-
06:39:54,0.82,-,-
06:40:03,1.6,-,-
06:40:12,1.99,-,-
06:40:21,0.96,-,-
06:40:30,0,-,-
06:40:39,0.35,-,-
06:40:48,0.23,-,-
06:40:57,0.08,-,-
06:41:06,0.02,-,-
06:41:15,0.71,-,-
06:41:24,1.58,-,-
06:41:33,0.95,-,-
06:41:42,0.8,-,-
06:41:51,0,-,-
06:42:00,0.24,-,-
06:42:09,2.15,-,-
06:42:18,8.76,-,-
06:42:27,1.55,-,-
06:42:36,0.68,-,-
06:42:45,2.99,-,-
06:42:54,8.73,-,-
06:43:03,4.22,-,-
06:43:12,6.02,-,-
06:43:21,1.78,-,-
06:43:30,0.96,-,-
06:43:39,1.28,-,-
06:43:48,0.13,-,-
06:43:57,0,-,-
06:44:06,0,-,-
06:44:15,0,-,-
06:44:24,1.29,-,-
06:44:33,1,-,-
06:44:42,0.35,-,-
06:44:51,0.74,-,-
06:45:00,1.05,-,-
