timestamp,in (kibibytes per second),out (kibibytes per second),anomaly%,annotations
1781907258000,24.8610103,-88.8802026,-,-
1781907309000,15.89,-143.07125,-,-
1781907360000,6.2,-379.2083333,-,-
1781907411000,22.52,-446.8528109,-,-
1781907462000,11.26,-193.813645,-,-
1781907513000,3.0366667,-88.7875602,-,-
1781907564000,0.8666667,-91.240568,-,-
1781907615000,0.2,-359.3431661,-,-
1781907666000,0.0666667,-1086.798195,-,-
1781907717000,0.6333333,-260.2629956,-,-
1781907768000,0.1333333,-121.8906152,-,-
1781907819000,0,-95.6813281,-,-
1781907870000,0.7333333,-98.3085124,-,-
1781907921000,1.56,-199.7588033,-,-
1781907972000,1.4,-381.0243099,-,-
1781908023000,0.1866667,-371.2773499,-,-
1781908074000,2.2266667,-103.0349406,-,-
1781908125000,2.2666667,-482.8192525,-,-
1781908176000,15.52,-304.3417025,-,-
1781908227000,39.31,-230.5847209,-,-
1781908278000,62.2436165,-389.1254395,-,-
1781908329000,76.9939941,-534.6564421,-,-
1781908380000,98.299056,-1471.2,-,-
1781908431000,41.3781917,-305.7933264,-,-
1781908482000,216.2733333,-233.681049,-,-
1781908533000,184.3233333,-348.4842269,-,-
1781908584000,61.8933333,-385.199375,-,-
1781908635000,12.3833333,-301.5845968,-,-
1781908686000,5.7933333,-97.9670475,-,-
1781908737000,9.7033333,-102.1186694,-,-
1781908788000,2.9466667,-92.9184684,-,-
1781908839000,1.2433333,-290.5335836,-,-
1781908890000,95,-453.03986,-,-
1781908941000,153.2433333,-369.7186092,-,-
1781908992000,70.1466667,-109.8948014,-,-
1781909043000,1.9833333,-97.139281,-,-
1781909094000,11.9,-102.1923608,-,-
1781909145000,12.1070857,-432.3826477,-,-
1781909196000,48.3625562,-360.9583171,-,-
1781909247000,64.0103605,-175.3877747,-,-
1781909298000,44.9733333,-97.5703963,-,-
1781909349000,25.3766667,-99.4873832,-,-
1781909400000,24.8666667,-93.5103434,-,-
1781909451000,34.7266667,-464.5696602,-,-
1781909502000,52.3333333,-329.8263802,-,-
1781909553000,106.4618001,-160.5920911,-,-
1781909604000,138.5303516,-95.2672412,-,-
1781909655000,105.0611816,-97.7612223,-,-
1781909706000,41.0891219,-137.6293091,-,-
1781909757000,96.2466581,-525.0236226,-,-
1781909808000,80.7852686,-294.5235938,-,-
1781909859000,131.89474,-151.4783761,-,-
1781909910000,129.2840332,-96.9253499,-,-
1781909961000,75.517088,-91.9676229,-,-
1781910012000,31.3722168,-191.1833008,-,-
1781910063000,11.2766667,-529.1212435,-,-
1781910114000,4.6466667,-369.3979427,-,-
1781910165000,1.3666667,-170.2366353,-,-
1781910216000,0.2133333,-98.4452474,-,-
1781910267000,6.21,-97.1753764,-,-
1781910318000,29.6267712,-234.8399129,-,-
1781910369000,61.6891329,-493.754222,-,-
1781910420000,34.1107625,-245.8889648,-,-
1781910471000,15.7554542,-115.0882007,-,-
