timestamp,minor (faults per second),major (faults per second),anomaly%,annotations
1781906952000,13717.7385417,-0.0025355,-,-
1781907003000,12664.2351563,-0.0130763,-,-
1781907054000,14696.8109375,-0.0198581,-,-
1781907105000,13301.7367187,-0.017664,-,-
1781907156000,13795.87125,-0.0142712,-,-
1781907207000,13854.6475,-0.0087674,-,-
1781907258000,13035.1853125,-0.0027947,-,-
1781907309000,13151.0972396,-0.005,-,-
1781907360000,14400.48125,-0.0333333,-,-
1781907411000,13205.3750521,-0.005,-,-
1781907462000,14139.9926042,-0.0116667,-,-
1781907513000,13688.4778125,-0.0166667,-,-
1781907564000,13226.5179167,-0.0166667,-,-
1781907615000,13682.2955729,-0.0125,-,-
1781907666000,13750.1033333,-0.0033333,-,-
1781907717000,14528.6165625,-0.0316667,-,-
1781907768000,14623.3639583,-0.0066667,-,-
1781907819000,13367.0695312,0,-,-
1781907870000,13657.2041667,-0.0083333,-,-
1781907921000,14048.5099479,-0.0341667,-,-
1781907972000,13221.8889583,-0.0566667,-,-
1781908023000,14185.8949479,-0.0208333,-,-
1781908074000,13300.4809375,-0.0916667,-,-
1781908125000,13630.9817708,-0.05,-,-
1781908176000,14340.4589583,-0.0433333,-,-
1781908227000,13926.7326042,-0.0425,-,-
1781908278000,13379.9072917,-0.2781779,-,-
1781908329000,14352.8893229,-0.7821373,-,-
1781908380000,14327.9958333,-0.4005182,-,-
1781908431000,13605.5542708,-0.0600777,-,-
1781908482000,14080.5538542,-1.2016667,-,-
1781908533000,13500.5125521,-0.7908333,-,-
1781908584000,13609.1058333,-0.0466667,-,-
1781908635000,14335.171875,-0.0583333,-,-
1781908686000,13026.408125,-0.03,-,-
1781908737000,13774.3709375,-0.0016667,-,-
1781908788000,13730.4579167,-0.0133333,-,-
1781908839000,13308.8283854,-0.0058333,-,-
1781908890000,14823.2135417,-0.025,-,-
1781908941000,15436.3111458,-0.0441667,-,-
1781908992000,13436.3129167,-0.03,-,-
1781909043000,13724.2196875,-0.0158333,-,-
1781909094000,13622.448125,-0.0016667,-,-
1781909145000,13110.4304688,0,-,-
1781909196000,13992.7295833,-0.03,-,-
1781909247000,13941.5859375,-0.0275,-,-
1781909298000,13275.6033333,0,-,-
1781909349000,13842.9585938,-0.0175,-,-
1781909400000,13735.871875,-0.1166667,-,-
1781909451000,13973.3477083,-0.0316667,-,-
1781909502000,13727.7134375,-0.005,-,-
1781909553000,13763.4484375,-0.0183333,-,-
1781909604000,13901.5916667,-0.0333333,-,-
1781909655000,13860.9632813,-0.025,-,-
1781909706000,13712.1388542,-0.0033333,-,-
1781909757000,13792.1831771,-0.0316667,-,-
1781909808000,13664.3541667,-0.0066667,-,-
1781909859000,13814.9422917,0,-,-
1781909910000,13480.9479167,-0.0210079,-,-
1781909961000,13224.6568229,-0.0359381,-,-
1781910012000,13444.6364583,-0.0197207,-,-
1781910063000,13154.3675,0,-,-
1781910114000,15567.124375,0,-,-
1781910165000,13778.3726563,-0.0125,-,-
1781910216000,13870.7072917,-0.0066667,-,-
1781910267000,13771.6702083,-0.0075,-,-
1781910318000,13483.983125,-0.0116667,-,-
