timestamp,avail (GiBy),anomaly%,annotations
06:15:30,2.6139,-,-
06:16:21,2.6285,-,-
06:17:12,2.6213,-,-
06:18:03,2.614,-,-
06:18:54,2.6066,-,-
06:19:45,2.6056,-,-
06:20:36,2.609,-,-
06:21:27,2.6182,-,-
06:22:18,2.6221,-,-
06:23:09,2.6111,-,-
06:24:00,2.6089,-,-
06:24:51,2.6046,-,-
06:25:42,2.5996,-,-
06:26:33,2.5835,-,-
06:27:24,2.5667,-,-
06:28:15,2.5636,-,-
06:29:06,2.5786,-,-
06:29:57,2.587,-,-
06:30:48,2.5966,-,-
06:31:39,2.5979,-,-
06:32:30,2.5874,-,-
06:33:21,2.5754,-,-
06:34:12,2.5805,-,-
06:35:03,2.6171,-,-
06:35:54,2.6286,-,-
06:36:45,2.6247,-,-
06:37:36,2.6169,-,-
06:38:27,2.6108,-,-
06:39:18,2.6068,-,-
06:40:09,2.6078,-,-
06:41:00,2.6336,-,-
06:41:51,2.634,-,-
06:42:42,2.6296,-,-
06:43:33,2.5902,-,-
06:44:24,2.5616,-,-
06:45:15,2.5686,-,-
06:46:06,2.58,-,-
06:46:57,2.5746,-,-
06:47:48,2.5692,-,-
06:48:39,2.5892,-,-
06:49:30,2.6214,-,-
06:50:21,2.6425,-,-
06:51:12,2.6431,-,-
06:52:03,2.6438,-,-
06:52:54,2.6514,-,-
06:53:45,2.6471,-,-
06:54:36,2.6498,-,-
06:55:27,2.652,-,-
06:56:18,2.6502,-,-
06:57:09,2.6481,-,-
06:58:00,2.6472,-,-
06:58:51,2.6508,-,-
06:59:42,2.6484,-,-
07:00:33,2.6441,-,-
07:01:24,2.6427,-,-
07:02:15,2.6435,-,-
07:03:06,2.633,-,-
07:03:57,2.5628,-,-
07:04:48,2.574,-,-
07:05:39,2.6164,-,-
07:06:30,2.6371,-,-
07:07:21,2.6382,-,-
07:08:12,2.6395,-,-
07:09:03,2.6373,-,-
07:09:54,2.6339,-,-
07:10:45,2.6332,-,-
07:11:36,2.6317,-,-
07:12:27,2.6305,-,-
07:13:18,2.6306,-,-
07:14:09,2.6317,-,-
07:15:00,2.6318,-,-
07:15:51,2.6315,-,-
07:16:42,2.6307,-,-
07:17:33,2.6295,-,-
07:18:24,2.6274,-,-
07:19:15,2.6258,-,-
07:20:06,2.6274,-,-
07:20:57,2.6276,-,-
07:21:48,2.6275,-,-
07:22:39,2.6258,-,-
07:23:30,2.6205,-,-
07:24:21,2.6224,-,-
07:25:12,2.6341,-,-
07:26:03,2.6331,-,-
07:26:54,2.632,-,-
07:27:45,2.6313,-,-
07:28:36,2.6334,-,-
07:29:27,2.633,-,-
07:30:18,2.6308,-,-
