timestamp,minor (K faults/s),major (K faults/s),anomaly%,annotations
06:01:54,2.6,0,-,-
06:02:45,1.96,-0,-,-
06:03:36,1.49,-0,-,-
06:04:27,1.4,0,-,-
06:05:18,1.42,0,-,-
06:06:09,1.34,0,-,-
06:07:00,1.36,0,-,-
06:07:51,1.33,0,-,-
06:08:42,1.37,0,-,-
06:09:33,1.39,0,-,-
06:10:24,1.38,0,-,-
06:11:15,1.37,0,-,-
06:12:06,1.35,0,-,-
06:12:57,1.41,0,-,-
06:13:48,1.36,0,-,-
06:14:39,1.37,0,-,-
06:15:30,1.36,0,-,-
06:16:21,1.35,0,-,-
06:17:12,1.38,0,-,-
06:18:03,1.34,0,-,-
06:18:54,1.39,0,-,-
06:19:45,1.36,0,-,-
06:20:36,1.4,0,-,-
06:21:27,1.89,0,-,-
06:22:18,2.23,-0,-,-
06:23:09,1.67,-0,-,-
06:24:00,1.33,0,-,-
06:24:51,1.4,0,-,-
06:25:42,1.45,0,-,-
06:26:33,1.59,0,-,-
06:27:24,1.55,0,-,-
06:28:15,1.36,0,-,-
06:29:06,1.36,0,-,-
06:29:57,1.34,0,-,-
06:30:48,1.36,0,-,-
06:31:39,1.37,0,-,-
06:32:30,4.17,-0,-,-
06:33:21,5.02,-0,-,-
06:34:12,2.6,-0,-,-
06:35:03,7.21,-0,-,-
06:35:54,2.03,-0,-,-
06:36:45,1.4,0,-,-
06:37:36,1.36,0,-,-
06:38:27,1.36,0,-,-
06:39:18,1.36,0,-,-
06:40:09,1.39,0,-,-
06:41:00,1.74,0,-,-
06:41:51,1.39,0,-,-
06:42:42,2.45,0,-,-
06:43:33,3.31,-0,-,-
06:44:24,2.79,-0,-,-
06:45:15,1.5,-0,-,-
06:46:06,1.38,-0,-,-
06:46:57,1.37,-0,-,-
06:47:48,1.33,-0,-,-
06:48:39,1.41,-0,-,-
06:49:30,1.46,-0,-,-
06:50:21,1.53,-0,-,-
06:51:12,1.62,-0,-,-
06:52:03,1.57,-0,-,-
06:52:54,1.73,-0,-,-
06:53:45,1.66,-0,-,-
06:54:36,1.66,-0,-,-
06:55:27,1.67,-0,-,-
