timestamp,minor (K faults/s),major (K faults/s),anomaly%,annotations
05:54:15,13.9,-0,-,-
05:55:06,13.7,-0,-,-
05:55:57,13.8,-0,-,-
05:56:48,13.7,-0,-,-
05:57:39,13.8,0,-,-
05:58:30,13.5,-0,-,-
05:59:21,13.2,-0,-,-
06:00:12,13.4,-0,-,-
06:01:03,13.2,0,-,-
06:01:54,15.6,0,-,-
06:02:45,13.8,-0,-,-
06:03:36,13.9,-0,-,-
06:04:27,13.8,-0,-,-
06:05:18,13.5,-0,-,-
06:06:09,14.4,0,-,-
06:07:00,13.1,0,-,-
06:07:51,14.1,-0,-,-
06:08:42,13.6,-0,-,-
06:09:33,13.8,-0,-,-
06:10:24,13.7,-0,-,-
06:11:15,13.5,-0,-,-
06:12:06,14.3,0,-,-
06:12:57,13.2,0,-,-
06:13:48,13.6,-0,-,-
06:14:39,14,-0,-,-
06:15:30,13.9,-0,-,-
06:16:21,13.8,-0,-,-
06:17:12,14,-0,-,-
06:18:03,13.8,-0,-,-
06:18:54,13.6,-0,-,-
06:19:45,13.6,-0,-,-
06:20:36,14,-0,-,-
06:21:27,14.6,-0,-,-
06:22:18,14.8,-0,-,-
06:23:09,14.1,-0,-,-
06:24:00,12.8,-0,-,-
06:24:51,14.5,-0,-,-
06:25:42,13.8,-0,-,-
06:26:33,14.1,-0,-,-
06:27:24,14,-0,-,-
06:28:15,13.4,-0,-,-
06:29:06,14.3,-0,-,-
06:29:57,13.3,-0,-,-
06:30:48,13.6,-0,-,-
06:31:39,13.9,-0,-,-
06:32:30,16.3,-0,-,-
06:33:21,16.7,-0,-,-
06:34:12,15,-0,-,-
06:35:03,21.9,-0.2,-,-
06:35:54,15.9,-0,-,-
06:36:45,13.7,-0,-,-
06:37:36,13.9,-0,-,-
06:38:27,13.8,-0,-,-
06:39:18,13.3,-0,-,-
06:40:09,13.7,-0,-,-
06:41:00,13.8,-0,-,-
06:41:51,13.6,-0,-,-
06:42:42,17.6,-0,-,-
06:43:33,16,-0,-,-
06:44:24,13.6,-0,-,-
06:45:15,14.1,-0,-,-
06:46:06,13.9,-0,-,-
06:46:57,13,-0,-,-
06:47:48,14.4,-0,-,-
06:48:39,13.5,-0,-,-
06:49:30,13.8,-0,-,-
06:50:21,14.1,-0,-,-
06:51:12,13.3,-0,-,-
06:52:03,14.5,-0,-,-
06:52:54,13.1,-0,-,-
06:53:45,14.2,-0,-,-
06:54:36,14.1,-0,-,-
06:55:27,13.9,-0,-,-
06:56:18,14,-0,-,-
06:57:09,13.4,-0,-,-
06:58:00,13.8,-0,-,-
06:58:51,14,-0,-,-
06:59:42,13.9,-0,-,-
07:00:33,13.9,-0,-,-
07:01:24,13.8,-0,-,-
07:02:15,13.9,-0,-,-
07:03:06,14.4,-0,-,-
07:03:57,14.9,-0,-,-
07:04:48,14.1,-0,-,-
07:05:39,12.9,-0,-,-
07:06:30,13.5,-0,-,-
07:07:21,14.1,-0,-,-
07:08:12,13.4,-0,-,-
07:09:03,14.6,-0,-,-
07:09:54,13.1,-0,-,-
07:10:45,14.4,-0,-,-
07:11:36,13.6,-0,-,-
07:12:27,13.8,-0,-,-
07:13:18,14.4,-0,-,-
07:14:09,13.2,-0,-,-
07:15:00,14.9,-0,-,-
07:15:51,13.3,-0,-,-
07:16:42,14.7,-0,-,-
07:17:33,13.9,-0,-,-
07:18:24,13.6,-0,-,-
07:19:15,14.4,-0,-,-
07:20:06,13.1,-0,-,-
07:20:57,14.5,-0,-,-
07:21:48,13.5,-0,-,-
07:22:39,14.2,-0,-,-
07:23:30,14.9,-0,-,-
07:24:21,14.7,-0,-,-
07:25:12,13.9,-0,-,-
07:26:03,13.6,-0,-,-
07:26:54,13.6,-0,-,-
07:27:45,14,-0,-,-
07:28:36,14,-0,-,-
07:29:27,14,-0,-,-
07:30:18,14,-0,-,-
