timestamp,Committed_AS (GiBy),anomaly%,annotations
06:14:39,2.3041,-,-
06:15:30,2.304,-,-
06:16:21,2.304,-,-
06:17:12,2.3042,-,-
06:18:03,2.3042,-,-
06:18:54,2.3043,-,-
06:19:45,2.3043,-,-
06:20:36,2.3061,-,-
06:21:27,2.3113,-,-
06:22:18,2.3226,-,-
06:23:09,2.3325,-,-
06:24:00,2.3047,-,-
06:24:51,2.3046,-,-
06:25:42,2.3062,-,-
06:26:33,2.3069,-,-
06:27:24,2.3069,-,-
06:28:15,2.307,-,-
06:29:06,2.307,-,-
06:29:57,2.3071,-,-
06:30:48,2.3072,-,-
06:31:39,2.3073,-,-
06:32:30,2.3271,-,-
06:33:21,2.3735,-,-
06:34:12,2.4463,-,-
06:35:03,2.5342,-,-
06:35:54,2.4364,-,-
06:36:45,2.4205,-,-
06:37:36,2.421,-,-
06:38:27,2.4251,-,-
06:39:18,2.4271,-,-
06:40:09,2.4205,-,-
06:41:00,2.3987,-,-
06:41:51,2.3989,-,-
06:42:42,2.4012,-,-
06:43:33,2.4636,-,-
06:44:24,2.5278,-,-
06:45:15,2.5495,-,-
06:46:06,2.5515,-,-
06:46:57,2.5496,-,-
06:47:48,2.5502,-,-
06:48:39,2.5225,-,-
06:49:30,2.4577,-,-
06:50:21,2.4084,-,-
06:51:12,2.4096,-,-
06:52:03,2.4112,-,-
06:52:54,2.4142,-,-
06:53:45,2.4154,-,-
06:54:36,2.4162,-,-
06:55:27,2.4167,-,-
06:56:18,2.4171,-,-
06:57:09,2.4174,-,-
06:58:00,2.4179,-,-
06:58:51,2.4183,-,-
06:59:42,2.4187,-,-
07:00:33,2.4193,-,-
07:01:24,2.4202,-,-
07:02:15,2.421,-,-
07:03:06,2.4312,-,-
07:03:57,2.5143,-,-
07:04:48,2.5131,-,-
07:05:39,2.4542,-,-
07:06:30,2.4237,-,-
07:07:21,2.4244,-,-
07:08:12,2.4253,-,-
07:09:03,2.4258,-,-
07:09:54,2.4263,-,-
07:10:45,2.4269,-,-
07:11:36,2.4277,-,-
07:12:27,2.4284,-,-
07:13:18,2.4287,-,-
07:14:09,2.4286,-,-
07:15:00,2.429,-,-
07:15:51,2.4292,-,-
07:16:42,2.4292,-,-
07:17:33,2.4295,-,-
07:18:24,2.4297,-,-
07:19:15,2.4297,-,-
07:20:06,2.4297,-,-
07:20:57,2.4297,-,-
07:21:48,2.4296,-,-
07:22:39,2.4296,-,-
07:23:30,2.4447,-,-
07:24:21,2.4493,-,-
07:25:12,2.4298,-,-
07:26:03,2.4298,-,-
07:26:54,2.4311,-,-
07:27:45,2.4301,-,-
07:28:36,2.4298,-,-
07:29:27,2.4332,-,-
07:30:18,2.4374,-,-
