timestamp,received (kilobits per second),sent (kilobits per second),anomaly%,annotations
1781907054000,29.1629049,-75.3672534,-,-
1781907105000,26.6283168,-65.7568705,-,-
1781907156000,28.0279712,-70.3841292,-,-
1781907207000,29.3128425,-75.5340763,-,-
1781907258000,28.0984202,-71.5565885,-,-
1781907309000,26.5704476,-64.4674862,-,-
1781907360000,31.3248169,-75.8818766,-,-
1781907411000,28.7890631,-72.5564246,-,-
1781907462000,27.7216388,-67.9510942,-,-
1781907513000,28.2308129,-71.229363,-,-
1781907564000,27.8839006,-71.4031445,-,-
1781907615000,26.8751658,-67.2611725,-,-
1781907666000,321.9337284,-354.2563761,-,-
1781907717000,2818.1351927,-2749.4908346,-,-
1781907768000,618.4528646,-629.2293229,-,-
1781907819000,30.0058496,-70.9753971,-,-
1781907870000,29.0449982,-74.844987,-,-
1781907921000,27.9637089,-70.433562,-,-
1781907972000,26.5439848,-64.6207406,-,-
1781908023000,28.7773731,-73.9851973,-,-
1781908074000,24.4806622,-61.0921541,-,-
1781908125000,29.4437261,-71.2378072,-,-
1781908176000,29.9339071,-74.8053499,-,-
1781908227000,27.5136288,-68.8171865,-,-
1781908278000,26.6384458,-65.5941223,-,-
1781908329000,28.9272177,-74.05132,-,-
1781908380000,28.7136576,-71.2668783,-,-
1781908431000,26.8921342,-66.0571765,-,-
1781908482000,29.7099536,-71.9385612,-,-
1781908533000,27.8783475,-67.6152163,-,-
1781908584000,26.7527702,-66.7836564,-,-
1781908635000,29.0933406,-74.4460734,-,-
1781908686000,29.1138558,-73.2352726,-,-
1781908737000,25.9761847,-62.2595854,-,-
1781908788000,28.3429179,-71.7479606,-,-
1781908839000,30.4676885,-75.0597689,-,-
1781908890000,7201.8227173,-1040.8501709,-,-
1781908941000,9588.1658105,-5641.4003711,-,-
1781908992000,568.2328381,-9928.3666032,-,-
1781909043000,28.2568727,-71.6543103,-,-
1781909094000,26.569706,-65.0038143,-,-
1781909145000,28.2771011,-71.8536479,-,-
1781909196000,29.6136963,-72.3640625,-,-
1781909247000,28.8967478,-68.7832198,-,-
1781909298000,27.8795465,-68.6834888,-,-
1781909349000,28.4138658,-72.8396997,-,-
1781909400000,25.749526,-61.7520833,-,-
1781909451000,26.4233401,-70.4519385,-,-
1781909502000,28.2903017,-73.6380688,-,-
1781909553000,28.7536211,-67.602513,-,-
1781909604000,28.6995125,-67.0206982,-,-
1781909655000,28.7469437,-73.5920797,-,-
1781909706000,27.9308327,-70.5136548,-,-
1781909757000,26.660431,-65.5497807,-,-
1781909808000,28.6044157,-72.7069417,-,-
1781909859000,25.8024031,-64.7219946,-,-
1781909910000,27.6134633,-67.1340088,-,-
1781909961000,30.413995,-74.7580892,-,-
1781910012000,28.2963057,-72.0165031,-,-
1781910063000,141.8636673,-62.7620046,-,-
1781910114000,2116.6127736,-80.4608785,-,-
1781910165000,708.0474284,-1820.7012044,-,-
1781910216000,79.8684029,-997.1192562,-,-
1781910267000,28.1932822,-67.7100126,-,-
1781910318000,30.2692409,-73.7387345,-,-
1781910369000,27.8693541,-70.1247778,-,-
1781910420000,26.7206177,-65.3238688,-,-
1781910471000,29.0388045,-73.3526542,-,-
1781910522000,26.8985531,-65.8808032,-,-
1781910573000,27.5621091,-68.9708008,-,-
1781910624000,29.872109,-74.789152,-,-
