timestamp,Active (GiBy),Inactive (GiBy),Active(anon) (GiBy),Inactive(anon) (GiBy),Active(file) (GiBy),Inactive(file) (GiBy),Unevictable (GiBy),Mlocked (GiBy),anomaly%,annotations
03:14:27,1.3128,0.2102,0.6863,0.0014,0.6265,0.2088,0.0263,0.0263,-,-
03:15:18,1.3129,0.2104,0.6864,0.0014,0.6265,0.209,0.0263,0.0263,-,-
03:16:09,1.3129,0.2105,0.6864,0.0014,0.6265,0.2092,0.0263,0.0263,-,-
03:17:00,1.3131,0.2107,0.6866,0.0014,0.6265,0.2093,0.0263,0.0263,-,-
03:17:51,1.3132,0.2108,0.6868,0.0014,0.6265,0.2094,0.0263,0.0263,-,-
03:18:42,1.3131,0.2109,0.6866,0.0014,0.6265,0.2096,0.0263,0.0263,-,-
03:19:33,1.313,0.2113,0.6865,0.0014,0.6265,0.21,0.0263,0.0263,-,-
03:20:24,1.3156,0.2139,0.6891,0.0014,0.6265,0.2125,0.0263,0.0263,-,-
03:21:15,1.318,0.2161,0.6915,0.0014,0.6265,0.2147,0.0263,0.0263,-,-
03:22:06,1.3134,0.2124,0.687,0.0014,0.6265,0.211,0.0263,0.0263,-,-
03:22:57,1.3132,0.2125,0.6867,0.0014,0.6265,0.2112,0.0263,0.0263,-,-
03:23:48,1.3131,0.2127,0.6867,0.0014,0.6265,0.2113,0.0263,0.0263,-,-
03:24:39,1.3132,0.2128,0.6868,0.0014,0.6265,0.2115,0.0263,0.0263,-,-
03:25:30,1.3132,0.213,0.6868,0.0014,0.6265,0.2116,0.0263,0.0263,-,-
03:26:21,1.3132,0.2131,0.6868,0.0014,0.6265,0.2117,0.0263,0.0263,-,-
03:27:12,1.3134,0.2133,0.6869,0.0014,0.6265,0.2119,0.0263,0.0263,-,-
03:28:03,1.3133,0.2134,0.6869,0.0014,0.6265,0.212,0.0263,0.0263,-,-
03:28:54,1.3134,0.2135,0.687,0.0014,0.6265,0.2122,0.0263,0.0263,-,-
03:29:45,1.3134,0.2137,0.6869,0.0014,0.6265,0.2123,0.0263,0.0263,-,-
03:30:36,1.3136,0.2138,0.6871,0.0014,0.6265,0.2124,0.0263,0.0263,-,-
03:31:27,1.3137,0.214,0.6872,0.0014,0.6265,0.2126,0.0263,0.0263,-,-
03:32:18,1.314,0.2141,0.6875,0.0014,0.6265,0.2127,0.0263,0.0263,-,-
03:33:09,1.3148,0.2142,0.6884,0.0014,0.6265,0.2129,0.0263,0.0263,-,-
03:34:00,1.3152,0.2144,0.6888,0.0014,0.6265,0.213,0.0263,0.0263,-,-
03:34:51,1.3155,0.2145,0.689,0.0014,0.6265,0.2131,0.0263,0.0263,-,-
03:35:42,1.3154,0.2147,0.689,0.0014,0.6265,0.2133,0.0263,0.0263,-,-
03:36:33,1.3151,0.2148,0.6886,0.0014,0.6265,0.2134,0.0263,0.0263,-,-
03:37:24,1.3147,0.2149,0.6882,0.0014,0.6265,0.2136,0.0263,0.0263,-,-
03:38:15,1.3144,0.2151,0.688,0.0014,0.6265,0.2137,0.0263,0.0263,-,-
03:39:06,1.3143,0.2152,0.6879,0.0014,0.6265,0.2138,0.0263,0.0263,-,-
03:39:57,1.3146,0.2153,0.6882,0.0014,0.6265,0.214,0.0263,0.0263,-,-
03:40:48,1.3259,0.2241,0.6994,0.0014,0.6265,0.2227,0.0263,0.0263,-,-
03:41:39,1.3195,0.2194,0.693,0.0014,0.6265,0.218,0.0263,0.0263,-,-
03:42:30,1.3145,0.2158,0.688,0.0014,0.6265,0.2144,0.0263,0.0263,-,-
03:43:21,1.3144,0.2159,0.6879,0.0014,0.6265,0.2146,0.0263,0.0263,-,-
03:44:12,1.3144,0.2161,0.6879,0.0014,0.6265,0.2147,0.0263,0.0263,-,-
03:45:03,1.3147,0.2162,0.6882,0.0014,0.6265,0.2148,0.0263,0.0263,-,-
03:45:54,1.3145,0.2164,0.688,0.0014,0.6265,0.215,0.0263,0.0263,-,-
03:46:45,1.3153,0.2165,0.6888,0.0014,0.6265,0.2151,0.0263,0.0263,-,-
03:47:36,1.3151,0.2167,0.6886,0.0014,0.6265,0.2153,0.0263,0.0263,-,-
