timestamp,Dirty (mebibytes),Writeback (mebibytes),anomaly%,annotations
1781908023000,0.0645638,0,-,-
1781908074000,0.0708724,0,-,-
1781908125000,0.0644368,0,-,-
1781908176000,0.0670052,0,-,-
1781908227000,0.0705762,0,-,-
1781908278000,0.0724023,0,-,-
1781908329000,0.0766829,0,-,-
1781908380000,0.0810547,0,-,-
1781908431000,0.0687695,0.0007194,-,-
1781908482000,0.0739844,0.0002539,-,-
1781908533000,0.0847754,0,-,-
1781908584000,0.0771875,0,-,-
1781908635000,0.0635417,0.0000163,-,-
1781908686000,0.0813932,0.0000586,-,-
1781908737000,0.0521745,0.0000033,-,-
1781908788000,0.0986849,0,-,-
1781908839000,0.0879329,0,-,-
1781908890000,7.2404297,0.0004232,-,-
1781908941000,9.3968587,0.0005501,-,-
1781908992000,0.0966667,0,-,-
1781909043000,0.1018229,0,-,-
1781909094000,0.1195312,0,-,-
1781909145000,0.130599,0,-,-
1781909196000,0.2023828,0,-,-
1781909247000,0.1763184,0,-,-
1781909298000,0.0730794,0,-,-
1781909349000,0.0457422,0,-,-
1781909400000,0.0935547,0,-,-
1781909451000,0.0977604,0,-,-
1781909502000,0.0950846,0.0005013,-,-
1781909553000,0.0945508,0.0003223,-,-
1781909604000,0.0920312,0,-,-
1781909655000,0.087679,0,-,-
1781909706000,0.0894401,0,-,-
1781909757000,0.0898828,0,-,-
1781909808000,0.0902734,0,-,-
1781909859000,0.0560026,0.0001693,-,-
1781909910000,0.0367513,0.0001628,-,-
1781909961000,0.0365951,0.0000423,-,-
1781910012000,0.0417839,0,-,-
1781910063000,0.1187305,0.0000391,-,-
1781910114000,1.1488021,0.0007031,-,-
1781910165000,2.9548503,0.001123,-,-
1781910216000,1.431901,0.0004948,-,-
1781910267000,0.0455859,0,-,-
1781910318000,0.052181,0,-,-
1781910369000,0.0617448,0,-,-
1781910420000,0.0836589,0,-,-
1781910471000,0.1506185,0,-,-
1781910522000,0.0792188,0,-,-
1781910573000,0.0391504,0,-,-
1781910624000,0.0417188,0,-,-
1781910675000,0.0489258,0,-,-
1781910726000,0.0432617,0,-,-
1781910777000,0.0474121,0,-,-
1781910828000,0.0441667,0,-,-
1781910879000,0.0409668,0,-,-
