timestamp,Active (mebibytes),Inactive (mebibytes),Active(anon) (mebibytes),Inactive(anon) (mebibytes),Active(file) (mebibytes),Inactive(file) (mebibytes),Unevictable (mebibytes),Mlocked (mebibytes),anomaly%,annotations
1781900067000,1344.3033236,215.2434342,702.8150928,1.40625,641.4882812,213.8371842,26.90625,26.90625,-,-
1781900118000,1344.3868229,215.428724,702.8985417,1.40625,641.4882812,214.022474,26.90625,26.90625,-,-
1781900169000,1344.3939648,215.5781641,702.9056934,1.40625,641.4882812,214.1719141,26.90625,26.90625,-,-
1781900220000,1344.5966146,215.7189453,703.1083984,1.40625,641.4882812,214.3126953,26.90625,26.90625,-,-
1781900271000,1344.721237,215.8649284,703.2329655,1.40625,641.4882812,214.4586784,26.90625,26.90625,-,-
1781900322000,1344.5960286,216.0074935,703.1077474,1.40625,641.4882812,214.6012435,26.90625,26.90625,-,-
1781900373000,1344.4879687,216.4188118,702.9996875,1.40625,641.4882812,215.0125618,26.90625,26.90625,-,-
1781900424000,1347.127474,219.0246745,705.6391667,1.40625,641.4882812,217.6184245,26.90625,26.90625,-,-
1781900475000,1349.5970703,221.2370605,708.1087402,1.40625,641.4882812,219.8308105,26.90625,26.90625,-,-
1781900526000,1344.9343229,217.4950781,703.4460417,1.40625,641.4882812,216.0888281,26.90625,26.90625,-,-
1781900577000,1344.6948177,217.6408398,703.2065365,1.40625,641.4882812,216.2345898,26.90625,26.90625,-,-
1781900628000,1344.625625,217.7889974,703.1373438,1.40625,641.4882812,216.3827474,26.90625,26.90625,-,-
1781900679000,1344.7339779,217.9312109,703.2457389,1.40625,641.4882812,216.5249609,26.90625,26.90625,-,-
1781900730000,1344.7369792,218.080957,703.2487305,1.40625,641.4882812,216.674707,26.90625,26.90625,-,-
1781900781000,1344.7645898,218.2316602,703.2763086,1.40625,641.4882812,216.8254102,26.90625,26.90625,-,-
1781900832000,1344.9153646,218.3739583,703.4270703,1.40625,641.4882812,216.9677083,26.90625,26.90625,-,-
1781900883000,1344.8527669,218.5151465,703.3644238,1.40625,641.4882812,217.1088965,26.90625,26.90625,-,-
1781900934000,1344.9485026,218.6575326,703.4602148,1.40625,641.4882812,217.2512826,26.90625,26.90625,-,-
1781900985000,1344.8885742,218.8064616,703.4002441,1.40625,641.4882812,217.4002116,26.90625,26.90625,-,-
1781901036000,1345.0814063,218.9514193,703.5930599,1.40625,641.4882812,217.5451693,26.90625,26.90625,-,-
1781901087000,1345.2065625,219.0932161,703.7182747,1.40625,641.4882812,217.6869661,26.90625,26.90625,-,-
1781901138000,1345.5133073,219.2341536,704.0250716,1.40625,641.4882812,217.8279036,26.90625,26.90625,-,-
1781901189000,1346.3626628,219.3755436,704.8743815,1.40625,641.4882812,217.9692936,26.90625,26.90625,-,-
1781901240000,1346.8092448,219.5177083,705.3209635,1.40625,641.4882812,218.1114583,26.90625,26.90625,-,-
1781901291000,1347.041556,219.6579362,705.5533301,1.40625,641.4882812,218.2516862,26.90625,26.90625,-,-
1781901342000,1347.0109115,219.8021289,705.5226497,1.40625,641.4882812,218.3958789,26.90625,26.90625,-,-
1781901393000,1346.6328776,219.9439128,705.1446322,1.40625,641.4882812,218.5376628,26.90625,26.90625,-,-
1781901444000,1346.2111458,220.0850651,704.7229036,1.40625,641.4882812,218.6788151,26.90625,26.90625,-,-
1781901495000,1345.9619141,220.2266927,704.4736328,1.40625,641.4882812,218.8204427,26.90625,26.90625,-,-
1781901546000,1345.8684115,220.3663477,704.3801302,1.40625,641.4882812,218.9600977,26.90625,26.90625,-,-
1781901597000,1346.1676823,220.5058561,704.679401,1.40625,641.4882812,219.0996061,26.90625,26.90625,-,-
1781901648000,1357.6714323,229.4329688,716.1641927,1.40625,641.5071875,228.0267188,26.90625,26.90625,-,-
1781901699000,1351.2051432,224.6671549,709.6806803,1.40625,641.5244824,223.2609049,26.90625,26.90625,-,-
1781901750000,1346.0845052,220.9821289,704.5532878,1.40625,641.53125,219.5758789,26.90625,26.90625,-,-
1781901801000,1345.9693229,221.1216732,704.4380729,1.40625,641.53125,219.7154232,26.90625,26.90625,-,-
1781901852000,1345.9895313,221.2620443,704.4582943,1.40625,641.53125,219.8557943,26.90625,26.90625,-,-
1781901903000,1346.2250391,221.4032357,704.6938509,1.40625,641.53125,219.9969857,26.90625,26.90625,-,-
1781901954000,1345.9999219,221.5501042,704.4686784,1.40625,641.53125,220.1438542,26.90625,26.90625,-,-
1781902005000,1346.8212891,221.7089355,705.2900391,1.40625,641.53125,220.3026855,26.90625,26.90625,-,-
1781902056000,1346.6657813,221.8609635,705.1345703,1.40625,641.53125,220.4547135,26.90625,26.90625,-,-
1781902107000,1346.371237,222.0055664,704.8400228,1.40625,641.53125,220.5993164,26.90625,26.90625,-,-
1781902158000,1346.4832292,222.1469141,704.9519596,1.40625,641.53125,220.7406641,26.90625,26.90625,-,-
1781902209000,1346.710332,222.2891016,705.1790267,1.40625,641.53125,220.8828516,26.90625,26.90625,-,-
1781902260000,1346.4766927,222.4332031,704.9454427,1.40625,641.53125,221.0269531,26.90625,26.90625,-,-
1781902311000,1346.7793945,222.5848861,705.2480892,1.40625,641.53125,221.1786361,26.90625,26.90625,-,-
1781902362000,1364.7988411,222.7344271,723.2675716,1.40625,641.53125,221.3281771,26.90625,26.90625,-,-
1781902413000,1377.5523372,222.8766341,736.0210514,1.40625,641.53125,221.4703841,26.90625,26.90625,-,-
1781902464000,1371.2102083,223.0165495,729.6789193,1.40625,641.53125,221.6102995,26.90625,26.90625,-,-
1781902515000,1352.8888346,223.1588379,711.3576009,1.40625,641.53125,221.7525879,26.90625,26.90625,-,-
1781902566000,1345.0937109,223.303763,703.5625195,1.40625,641.53125,221.897513,26.90625,26.90625,-,-
1781902617000,1345.2837435,223.4552799,703.7524967,1.40625,641.53125,222.0490299,26.90625,26.90625,-,-
1781902668000,1345.2004427,223.5973698,703.6691927,1.40625,641.53125,222.1911198,26.90625,26.90625,-,-
1781902719000,1345.5858659,223.738278,704.0546159,1.40625,641.53125,222.332028,26.90625,26.90625,-,-
1781902770000,1345.8245443,223.8792969,704.2932617,1.40625,641.53125,222.4730469,26.90625,26.90625,-,-
1781902821000,1360.146849,282.2109831,718.5568359,1.40625,641.5899935,280.8047331,26.90625,26.90625,-,-
1781902872000,1382.0208594,368.1163281,740.3069531,1.40625,641.7139583,366.7100781,26.90625,26.90625,-,-
1781902923000,1362.4918034,276.3088184,720.7183691,1.40625,641.7734375,274.9025684,26.90625,26.90625,-,-
1781902974000,1349.4408724,229.9854232,707.6674935,1.40625,641.7734375,228.5791732,26.90625,26.90625,-,-
1781903025000,1347.8097656,224.6601725,706.0363444,1.40625,641.7734375,223.2539225,26.90625,26.90625,-,-
1781903076000,1348.0478646,224.8013802,706.2744271,1.40625,641.7734375,223.3951302,26.90625,26.90625,-,-
1781903127000,1348.1627083,224.9479362,706.3892708,1.40625,641.7734375,223.5416862,26.90625,26.90625,-,-
1781903178000,1348.013151,225.0954622,706.239694,1.40625,641.7734375,223.6892122,26.90625,26.90625,-,-
