timestamp,Active (mebibytes),Inactive (mebibytes),Active(anon) (mebibytes),Inactive(anon) (mebibytes),Active(file) (mebibytes),Inactive(file) (mebibytes),Unevictable (mebibytes),Mlocked (mebibytes),anomaly%,annotations
1781900067000,1094.3089974,1790.4337956,778.4066032,71.2070312,315.9023438,1719.2267643,26.9101562,26.9101562,-,-
1781900118000,1088.4764063,1795.9582031,772.5740625,71.2009961,315.9023438,1724.7572266,26.9101562,26.9101562,-,-
1781900169000,1083.9010091,1785.6786914,767.9986654,71.1852441,315.9023438,1714.4935026,26.9101562,26.9101562,-,-
1781900220000,1072.9644531,1725.1503906,757.0621094,71.1757812,315.9023438,1653.9746094,26.9101562,26.9101562,-,-
1781900271000,1081.3833822,1718.7685286,765.4810384,71.1711328,315.9023438,1647.5973958,26.9101562,26.9101562,-,-
1781900322000,1089.5898503,1725.120013,773.6875065,71.167487,315.9023438,1653.9526172,26.9101562,26.9101562,-,-
1781900373000,1103.0192969,1732.1608464,787.1169531,71.1650586,315.9023438,1660.9958464,26.9101562,26.9101562,-,-
1781900424000,1112.1239844,1767.9167708,796.2107292,71.1640625,315.9132813,1696.7527083,26.9101562,26.9101562,-,-
1781900475000,1114.380599,1816.8644206,798.4284993,71.1549805,315.9521484,1745.7094401,26.9101562,26.9101562,-,-
1781900526000,1119.6319661,1817.0040495,803.6124349,71.1216797,316.0195312,1745.8823698,26.9101562,26.9101562,-,-
1781900577000,1124.8398763,1817.6372331,808.8203451,71.0702148,316.0195312,1746.5670182,26.9101562,26.9101562,-,-
1781900628000,1123.553099,1825.9776042,807.5335677,70.9821875,316.0195312,1754.9954167,26.9101562,26.9101562,-,-
1781900679000,1116.8713997,1829.670599,800.8390462,70.9588216,316.0323958,1758.7117773,26.9101562,26.9101562,-,-
1781900730000,1112.149349,1830.6078125,796.0594401,70.9563802,316.089974,1759.6514323,26.9101562,26.9101562,-,-
1781900781000,1102.1531445,1830.9573177,786.0125618,70.9543945,316.140625,1760.0029232,26.9101562,26.9101562,-,-
1781900832000,1085.3957943,1831.5894271,769.2551693,70.953125,316.140625,1760.6363021,26.9101562,26.9101562,-,-
1781900883000,1086.168916,1832.5524479,770.0282878,70.9529232,316.140625,1761.5995247,26.9101562,26.9101562,-,-
1781900934000,1145.4891211,1841.6917187,829.3484375,70.9494922,316.140625,1770.7422266,26.9101562,26.9101562,-,-
1781900985000,1166.7279297,1847.7652669,849.8544759,70.9462565,316.8734375,1776.8190104,26.9101562,26.9101562,-,-
1781901036000,1172.5340625,1849.9502083,855.3733073,70.9453125,317.1607552,1779.0048958,26.9101562,26.9101562,-,-
1781901087000,1149.0208984,1850.5521484,831.7675781,70.9453125,317.253291,1779.6068359,26.9101562,26.9101562,-,-
1781901138000,1112.8632552,1851.140651,795.5176367,70.9453125,317.3455924,1780.1953385,26.9101562,26.9101562,-,-
1781901189000,1098.055957,1853.3221484,780.6771061,70.9453125,317.3789062,1782.3768359,26.9101562,26.9101562,-,-
1781901240000,1100.9053385,1862.040625,783.5264323,70.9453125,317.3789062,1791.0953125,26.9101562,26.9101562,-,-
1781901291000,1099.2700846,1867.7708203,781.8776204,70.9453125,317.3924642,1796.8255078,26.9101562,26.9101562,-,-
1781901342000,1098.1061458,1869.2107813,780.7033138,70.9438997,317.402832,1798.2669271,26.9101562,26.9101562,-,-
1781901393000,1099.2189258,1869.8908203,781.7525195,70.9422559,317.4664062,1798.9485938,26.9101562,26.9101562,-,-
1781901444000,1101.0642969,1870.5644792,783.5283333,70.9414062,317.5359375,1799.6230729,26.9101562,26.9101562,-,-
1781901495000,1102.1541341,1873.6578125,784.5835124,70.9411947,317.5705729,1802.7166341,26.9101562,26.9101562,-,-
1781901546000,1102.5007031,1882.4052865,784.9161719,70.9402539,317.5845312,1811.4650911,26.9101562,26.9101562,-,-
1781901597000,1101.6754948,1888.1146745,784.0785677,70.937653,317.5969271,1817.1770247,26.9101562,26.9101562,-,-
1781901648000,1136.8728906,1890.4151042,819.2752865,70.9375,317.5976562,1819.4776042,26.9101562,26.9101562,-,-
1781901699000,1145.2107552,1890.5228516,827.6043197,70.9375,317.6064583,1819.5853516,26.9101562,26.9101562,-,-
1781901750000,1165.678776,1890.6976562,848.0235352,70.9347982,317.6552083,1819.7628255,26.9101562,26.9101562,-,-
1781901801000,1184.5649609,1894.7079687,866.8657227,70.9312533,317.6992188,1823.7766732,26.9101562,26.9101562,-,-
1781901852000,1180.9163542,1902.8394271,863.2172005,70.9296875,317.6992188,1831.9097396,26.9101562,26.9101562,-,-
1781901903000,1178.1064323,1908.4342839,860.4072786,70.9296549,317.6992188,1837.5046354,26.9101562,26.9101562,-,-
1781901954000,1146.4735937,1908.9064323,828.7744401,70.9291016,317.6992188,1837.9774479,26.9101562,26.9101562,-,-
1781902005000,1115.2226888,1909.231901,797.5234863,70.9265951,317.6992188,1838.3053385,26.9101562,26.9101562,-,-
1781902056000,1106.4959896,1909.5560937,788.7784505,70.9257812,317.7175,1838.6303125,26.9101562,26.9101562,-,-
1781902107000,1109.6948177,1914.4795443,791.9629557,70.9247266,317.7317969,1843.5548177,26.9101562,26.9101562,-,-
1781902158000,1114.2734115,1922.2889063,796.5389714,70.9229688,317.734375,1851.3659375,26.9101562,26.9101562,-,-
1781902209000,1122.9422526,1927.0294206,805.2078223,70.9213379,317.734375,1856.1080729,26.9101562,26.9101562,-,-
1781902260000,1158.3755208,1927.6772135,840.6411458,70.9182943,317.734375,1856.7588542,26.9101562,26.9101562,-,-
1781902311000,1155.7518099,1928.1410612,838.0141146,70.9050684,317.7376953,1857.2360938,26.9101562,26.9101562,-,-
1781902362000,1213.9901823,1968.5773698,894.746263,70.8863281,319.2439648,1897.6910807,26.9101562,26.9101562,-,-
1781902413000,1178.5458659,1992.0451693,880.2885384,80.2892741,298.2573568,1911.755931,26.9101562,26.9101562,-,-
1781902464000,1119.0682031,2001.5270833,843.1237109,89.8851953,275.9444922,1911.6419271,26.9101562,26.9101562,-,-
1781902515000,1106.0666992,2008.3498047,836.8860189,92.7304688,269.1806641,1915.6193359,26.9101562,26.9101562,-,-
1781902566000,1107.4419531,2008.9509245,837.7895508,92.7304688,269.6523438,1916.2204557,26.9101562,26.9101562,-,-
1781902617000,1072.2180859,2009.5763607,802.5657389,92.7304688,269.6523438,1916.8458919,26.9101562,26.9101562,-,-
1781902668000,1059.2233854,2010.0592969,789.5710417,92.7304688,269.6523438,1917.3288281,26.9101562,26.9101562,-,-
1781902719000,1068.0350326,2017.0654036,798.3826888,92.7304688,269.6523438,1924.3349349,26.9101562,26.9101562,-,-
1781902770000,1081.2501953,2002.206901,804.1128255,90.283724,277.1373698,1911.9231771,26.9101562,26.9101562,-,-
1781902821000,1110.5564714,1970.7777214,821.2774349,86.6078776,289.2790592,1884.1698437,26.9101562,26.9101562,-,-
1781902872000,1150.4671875,1945.8484375,855.3552344,85.164375,295.1120052,1860.6840625,26.9101562,26.9101562,-,-
1781902923000,1141.5317415,1941.9226953,858.2240267,88.6067969,283.3077148,1853.3158984,26.9101562,26.9101562,-,-
1781902974000,1092.6562435,1946.5673698,818.5917253,90.0681771,274.0645182,1856.4991927,26.9101562,26.9101562,-,-
1781903025000,1079.195931,1954.0535482,806.1700195,89.2748698,273.0259115,1864.7786784,26.9101562,26.9101562,-,-
1781903076000,1078.1958464,1960.4929688,805.1297526,88.953125,273.0660937,1871.5398438,26.9101562,26.9101562,-,-
1781903127000,1079.2254915,1963.5199609,806.1434603,88.953125,273.0820312,1874.5668359,26.9101562,26.9101562,-,-
1781903178000,1075.5228906,1964.0980599,802.4408594,88.953125,273.0820312,1875.1449349,26.9101562,26.9101562,-,-
1781903229000,1068.8074512,1964.730944,795.7151855,88.953125,273.0922656,1875.777819,26.9101562,26.9101562,-,-
1781903280000,1079.4348307,1965.1372396,806.2845703,88.953125,273.1502604,1876.1841146,26.9101562,26.9101562,-,-
1781903331000,1063.099668,1974.2532682,789.9044727,88.953125,273.1951953,1885.3001432,26.9101562,26.9101562,-,-
1781903382000,1078.3723763,1980.6318229,805.1692513,88.953125,273.203125,1891.6786979,26.9101562,26.9101562,-,-
1781903433000,1085.1810872,1983.3404818,811.6707357,88.953125,273.5103516,1894.3873568,26.9101562,26.9101562,-,-
1781903484000,1078.6239323,1984.1165104,804.8524479,88.953125,273.7714844,1895.1633854,26.9101562,26.9101562,-,-
1781903535000,1071.8338216,1984.6512695,798.0391439,88.953125,273.7946777,1895.6981445,26.9101562,26.9101562,-,-
1781903586000,1077.2679622,1986.2564974,803.4476497,88.953125,273.8203125,1897.3033724,26.9101562,26.9101562,-,-
1781903637000,1076.2192415,1995.1537174,802.398929,88.953125,273.8203125,1906.2005924,26.9101562,26.9101562,-,-
1781903688000,1079.67125,2000.76125,805.8509375,88.953125,273.8203125,1911.808125,26.9101562,26.9101562,-,-
1781903739000,1076.9701465,2002.3740495,803.1488184,88.953125,273.8213281,1913.4209245,26.9101562,26.9101562,-,-
1781903790000,1074.8038737,2002.9772135,800.9593424,88.9408203,273.8445312,1914.0363932,26.9101562,26.9101562,-,-
1781903841000,1076.4138184,2003.5555859,802.5466309,88.908418,273.8671875,1914.647168,26.9101562,26.9101562,-,-
1781903892000,1078.8994792,2005.9730729,805.0320443,88.8710938,273.8674349,1917.1019792,26.9101562,26.9101562,-,-
1781903943000,1075.4284408,2014.7805078,801.5598828,88.8571289,273.8685579,1925.9233854,26.9101562,26.9101562,-,-
1781903994000,1080.8702669,2020.2264844,806.9994401,88.6197266,273.8708268,1931.606875,26.9101562,26.9101562,-,-
1781904045000,1136.8030111,2026.1950195,822.2911947,89.935791,314.5117676,1936.2593099,26.9101562,26.9101562,-,-
1781904096000,1344.8730729,1585.319401,1038.4884115,177.0074219,306.3846354,1408.3120052,26.9101562,26.9101562,-,-
1781904147000,1474.1182227,1210.0159961,1190.1407292,242.0318327,283.9774935,967.9841927,26.9101562,26.9101562,-,-
1781904198000,1468.2748828,1110.8004948,1194.0090495,250.9195378,274.2658333,859.8809831,26.9101562,26.9101562,-,-
1781904249000,1448.980944,1098.5317546,1174.6726302,250.9089063,274.308304,847.622793,26.9101562,26.9101562,-,-
1781904300000,1462.4670573,1044.7485026,1188.1101563,250.90625,274.3568359,793.8422526,26.9101562,26.9101562,-,-
1781904351000,1069.0358138,1042.9804915,793.7063379,250.90625,275.3294661,792.0742415,26.9101562,26.9101562,-,-
1781904402000,961.2068034,1050.8708398,680.1420182,250.90625,281.0647852,799.9645898,26.9101562,26.9101562,-,-
