timestamp,timestamp,anomaly%,annotations
1781894016000,-,-,-
1781894112000,-,-,-
1781894208000,0,-,-
1781894304000,0,-,-
1781894400000,0,-,-
1781894496000,0,-,-
1781894592000,9.01,-,-
1781894688000,15.6882442,-,-
1781894784000,91.1784416,-,-
1781894880000,389.1097656,-,-
1781894976000,379.7244792,-,-
1781895072000,384.944681,-,-
1781895168000,354.1798893,-,-
1781895264000,294.9776367,-,-
1781895360000,273.0234701,-,-
1781895456000,361.3793707,-,-
1781895552000,187.79123,-,-
1781895648000,34.7146761,-,-
1781895744000,0.8229087,-,-
1781895840000,1.0066987,-,-
1781895936000,0.4421404,-,-
1781896032000,0.1854003,-,-
1781896128000,0.1083333,-,-
1781896224000,0.3242045,-,-
1781896320000,1.1876892,-,-
1781896416000,1.5491763,-,-
1781896512000,0.7294768,-,-
1781896608000,0.4469909,-,-
1781896704000,0.7533333,-,-
1781896800000,0.0333333,-,-
1781896896000,0.02,-,-
1781896992000,0.0066667,-,-
1781897088000,0,-,-
1781897184000,0.0016667,-,-
1781897280000,0.0083333,-,-
1781897376000,0.0083333,-,-
1781897472000,0.0083333,-,-
1781897568000,0.0083333,-,-
1781897664000,0.01,-,-
1781897760000,0.0166667,-,-
1781897856000,0.0366667,-,-
1781897952000,0.0166667,-,-
1781898048000,0,-,-
1781898144000,0,-,-
1781898240000,0,-,-
1781898336000,0,-,-
1781898432000,0.015,-,-
1781898528000,0.025,-,-
1781898624000,0.0216667,-,-
1781898720000,0.0083333,-,-
1781898816000,0.0083333,-,-
1781898912000,0.0033333,-,-
1781899008000,0.01,-,-
1781899104000,0.02,-,-
1781899200000,0,-,-
1781899296000,0.02,-,-
1781899392000,0.01,-,-
1781899488000,0,-,-
1781899584000,0.0033333,-,-
1781899680000,0.0166667,-,-
1781899776000,0.0033333,-,-
1781899872000,0,-,-
1781899968000,0,-,-
1781900064000,0,-,-
1781900160000,0,-,-
1781900256000,0,-,-
1781900352000,0,-,-
1781900448000,0.0033333,-,-
1781900544000,0.0066667,-,-
1781900640000,0,-,-
1781900736000,0.02,-,-
1781900832000,0.01,-,-
1781900928000,0,-,-
1781901024000,0.0016667,-,-
1781901120000,0.0083333,-,-
1781901216000,0.0016667,-,-
1781901312000,0,-,-
1781901408000,0,-,-
1781901504000,0.0033333,-,-
1781901600000,0.0166667,-,-
1781901696000,0.0033333,-,-
1781901792000,0,-,-
1781901888000,0,-,-
1781901984000,0.0033333,-,-
1781902080000,0.0166667,-,-
1781902176000,0.0033333,-,-
1781902272000,0,-,-
1781902368000,0.5266667,-,-
1781902464000,1.0533333,-,-
1781902560000,0,-,-
1781902656000,0,-,-
1781902752000,0.09,-,-
1781902848000,0.2133333,-,-
1781902944000,0.2533333,-,-
1781903040000,0.0333333,-,-
1781903136000,0.0066667,-,-
1781903232000,0,-,-
1781903328000,0,-,-
1781903424000,0.005,-,-
1781903520000,0.025,-,-
1781903616000,0.005,-,-
1781903712000,0,-,-
1781903808000,0,-,-
1781903904000,0,-,-
1781904000000,0,-,-
1781904096000,3.7733333,-,-
1781904192000,1.9116667,-,-
1781904288000,0.0516667,-,-
1781904384000,0.055,-,-
1781904480000,0.0083333,-,-
1781904576000,0.0016667,-,-
1781904672000,0.01,-,-
1781904768000,0.0166667,-,-
1781904864000,0.015,-,-
1781904960000,0.0083333,-,-
1781905056000,0.0016667,-,-
1781905152000,0,-,-
1781905248000,0.6052898,-,-
1781905344000,1.211268,-,-
1781905440000,0.0034423,-,-
1781905536000,0.0006885,-,-
1781905632000,0.01,-,-
1781905728000,0.01,-,-
1781905824000,0.01,-,-
1781905920000,0.05,-,-
1781906016000,0.03,-,-
1781906112000,0.0143964,-,-
1781906208000,0.0081321,-,-
1781906304000,0.0091382,-,-
1781906400000,0.0083333,-,-
1781906496000,0.015,-,-
1781906592000,0.0166667,-,-
1781906688000,0.01,-,-
1781906784000,0.0016667,-,-
1781906880000,0.0083333,-,-
1781906976000,0.0016667,-,-
1781907072000,0.005,-,-
1781907168000,0.0083333,-,-
1781907264000,0.0066667,-,-
1781907360000,0,-,-
1781907456000,0.0066667,-,-
1781907552000,0.0133333,-,-
1781907648000,0.01,-,-
1781907744000,0,-,-
1781907840000,0,-,-
1781907936000,0.0133333,-,-
1781908032000,0.0166667,-,-
