timestamp,received (kilobits per second),sent (kilobits per second),anomaly%,annotations
1781907054000,29.1629069,-75.3672534,-,-
1781907105000,26.6283142,-65.7568675,-,-
1781907156000,28.0279696,-70.3841276,-,-
1781907207000,29.3128416,-75.5340727,-,-
1781907258000,28.09842,-71.5565841,-,-
1781907309000,26.570451,-64.4674896,-,-
1781907360000,31.3248169,-75.8818766,-,-
1781907411000,28.7888158,-72.5554423,-,-
1781907462000,27.7217495,-67.9515479,-,-
1781907513000,28.2309379,-71.229873,-,-
1781907564000,27.8838672,-71.4029964,-,-
1781907615000,26.8751307,-67.2609975,-,-
1781907666000,321.9338108,-354.2567131,-,-
1781907717000,2818.1351972,-2749.4908533,-,-
1781907768000,618.4528581,-629.2293164,-,-
1781907819000,30.0058507,-70.9753943,-,-
1781907870000,29.0449992,-74.8449829,-,-
1781907921000,27.9637084,-70.4335596,-,-
1781907972000,26.5439876,-64.6207454,-,-
1781908023000,28.777364,-73.9851902,-,-
1781908074000,24.4806704,-61.0921643,-,-
1781908125000,29.443718,-71.2377981,-,-
1781908176000,29.9339075,-74.8053483,-,-
1781908227000,27.5136061,-68.8171781,-,-
1781908278000,26.638398,-65.5940999,-,-
1781908329000,28.9271365,-74.0510506,-,-
1781908380000,28.7131856,-71.2651286,-,-
1781908431000,26.8924542,-66.0583944,-,-
1781908482000,29.7101044,-71.9390837,-,-
1781908533000,27.8783882,-67.6152297,-,-
1781908584000,26.7527966,-66.7836613,-,-
1781908635000,29.0933304,-74.4460632,-,-
1781908686000,29.1138802,-73.235304,-,-
1781908737000,25.9761918,-62.2596063,-,-
1781908788000,28.3429191,-71.7479647,-,-
1781908839000,30.4676885,-75.0597742,-,-
1781908890000,7201.8216756,-1040.837089,-,-
1781908941000,9588.1649577,-5641.392474,-,-
1781908992000,568.2339185,-9928.3871859,-,-
1781909043000,28.2565779,-71.6531822,-,-
1781909094000,26.5699681,-65.0048132,-,-
1781909145000,28.2771845,-71.8539602,-,-
1781909196000,29.6135445,-72.3634375,-,-
1781909247000,28.8967224,-68.783112,-,-
1781909298000,27.8797245,-68.6842122,-,-
1781909349000,28.4138655,-72.8396997,-,-
1781909400000,25.7495239,-61.7520833,-,-
1781909451000,26.4233416,-70.4519385,-,-
1781909502000,28.2902995,-73.6380632,-,-
1781909553000,28.7536182,-67.6025049,-,-
1781909604000,28.6995129,-67.0206966,-,-
1781909655000,28.7468755,-73.591803,-,-
1781909706000,27.9306049,-70.5127502,-,-
1781909757000,26.6606874,-65.5508026,-,-
1781909808000,28.6044743,-72.7071688,-,-
1781909859000,25.8024038,-64.7219946,-,-
1781909910000,27.6134633,-67.1340088,-,-
1781909961000,30.4139942,-74.7580892,-,-
1781910012000,28.2963041,-72.0165023,-,-
1781910063000,141.8636673,-62.7620007,-,-
1781910114000,2116.6127736,-80.4608781,-,-
1781910165000,708.0474284,-1820.7012044,-,-
1781910216000,79.8683993,-997.1192562,-,-
1781910267000,28.1932806,-67.7100126,-,-
1781910318000,30.2691296,-73.7382926,-,-
1781910369000,27.8690881,-70.123748,-,-
1781910420000,26.7210002,-65.3253499,-,-
1781910471000,29.0388619,-73.3528695,-,-
1781910522000,26.8985531,-65.8808008,-,-
1781910573000,27.5621091,-68.9708008,-,-
1781910624000,29.872109,-74.789152,-,-
1781910675000,29.8128764,-71.7158061,-,-
1781910726000,26.0821151,-62.9958472,-,-
1781910777000,29.2796313,-73.8773897,-,-
1781910828000,28.2651685,-71.7642513,-,-
