timestamp,received (packets per second),sent (packets per second),anomaly%,annotations
1781907105000,12.6958491,-11.6098478,-,-
1781907156000,13.2978979,-12.2703198,-,-
1781907207000,14.04038,-12.7907686,-,-
1781907258000,13.5148184,-12.2233072,-,-
1781907309000,12.4424829,-11.4792942,-,-
1781907360000,14.3833516,-12.8045736,-,-
1781907411000,13.9674073,-12.3308748,-,-
1781907462000,13.4908773,-11.9731897,-,-
1781907513000,13.5214482,-12.2125384,-,-
1781907564000,13.177395,-12.1213519,-,-
1781907615000,12.7058947,-11.7161517,-,-
1781907666000,68.2574989,-36.7559494,-,-
1781907717000,532.9457363,-245.2722272,-,-
1781907768000,122.7614705,-61.037251,-,-
1781907819000,13.7540952,-12.034251,-,-
1781907870000,13.9856354,-12.2477463,-,-
1781907921000,13.4609076,-11.9611364,-,-
1781907972000,12.7372304,-11.4460291,-,-
1781908023000,13.867594,-12.5122642,-,-
1781908074000,12.1072171,-10.8163143,-,-
1781908125000,13.6534373,-12.3916908,-,-
1781908176000,14.0651459,-12.753323,-,-
1781908227000,13.1992383,-11.9119869,-,-
1781908278000,12.7535106,-11.4670211,-,-
1781908329000,13.8476849,-12.3911164,-,-
1781908380000,13.8089834,-12.3926442,-,-
1781908431000,12.6989865,-11.318173,-,-
1781908482000,13.543518,-11.9994837,-,-
1781908533000,12.9394876,-11.6936401,-,-
1781908584000,12.7633525,-11.6378855,-,-
1781908635000,13.8275469,-12.4055735,-,-
1781908686000,13.773325,-12.2930101,-,-
1781908737000,12.296092,-10.8801963,-,-
1781908788000,13.5654801,-11.826083,-,-
1781908839000,14.2590605,-12.53339,-,-
1781908890000,721.9697016,-115.7900375,-,-
1781908941000,1422.3202409,-503.2913924,-,-
1781908992000,1129.9266711,-827.7281657,-,-
1781909043000,13.5555798,-12.1075597,-,-
1781909094000,12.6406806,-11.5065736,-,-
1781909145000,13.4582598,-11.958965,-,-
1781909196000,13.6020156,-12.3197353,-,-
1781909247000,13.21423,-12.051906,-,-
1781909298000,13.1357219,-11.9585924,-,-
1781909349000,13.5104134,-12.5420265,-,-
1781909400000,12.1787821,-10.7454478,-,-
1781909451000,13.2039866,-11.5581522,-,-
1781909502000,13.7242345,-11.8107562,-,-
1781909553000,13.1530227,-11.2958909,-,-
1781909604000,13.0666595,-11.4484597,-,-
1781909655000,13.7141014,-12.3175448,-,-
1781909706000,13.3197715,-12.1017113,-,-
1781909757000,12.582344,-11.5185927,-,-
1781909808000,13.8047496,-12.300483,-,-
1781909859000,12.796593,-11.1631719,-,-
1781909910000,13.2166641,-11.4704412,-,-
1781909961000,14.1675753,-12.5090219,-,-
1781910012000,13.4706344,-12.1564087,-,-
1781910063000,21.9509995,-11.2596224,-,-
1781910114000,190.4737457,-21.1337337,-,-
1781910165000,262.3249634,-160.0613241,-,-
1781910216000,119.1639266,-89.0160632,-,-
1781910267000,13.0492085,-11.6133857,-,-
1781910318000,13.903468,-12.1218726,-,-
1781910369000,13.2725043,-11.6126844,-,-
1781910420000,12.7375977,-11.304012,-,-
1781910471000,13.7295125,-12.5111921,-,-
1781910522000,12.6965329,-11.715624,-,-
1781910573000,13.1462785,-12.0308335,-,-
1781910624000,14.0893691,-12.6854338,-,-
1781910675000,13.7541753,-12.283342,-,-
1781910726000,12.25006,-11.0324829,-,-
1781910777000,13.8083242,-12.299675,-,-
1781910828000,13.296546,-12.134608,-,-
1781910879000,12.8528413,-11.7421807,-,-
1781910930000,13.2854914,-11.8732569,-,-
1781910981000,13.4091301,-11.8932805,-,-
1781911032000,13.1045123,-11.8784414,-,-
1781911083000,15.2861179,-13.9004395,-,-
1781911134000,14.1502658,-12.6473856,-,-
1781911185000,12.9007983,-11.5909724,-,-
1781911236000,13.4215788,-11.9124931,-,-
1781911287000,102.1498312,-16.7065466,-,-
1781911338000,226.8435889,-78.2128306,-,-
1781911389000,228.5826689,-179.7528467,-,-
1781911440000,13.9833252,-12.6424316,-,-
1781911491000,12.4958503,-11.4588812,-,-
1781911542000,13.5166482,-12.4283163,-,-
