timestamp,timestamp,anomaly%,annotations
1781910009000,0.8000001,-,-
1781910018000,0.25,-,-
1781910027000,0.1,-,-
1781910036000,0,-,-
1781910045000,0.2,-,-
1781910054000,0.115048,-,-
1781910063000,0.1547066,-,-
1781910072000,0.2581375,-,-
1781910081000,0.1,-,-
1781910090000,0.1100642,-,-
1781910099000,0.0119487,-,-
1781910108000,0.125,-,-
1781910117000,2.0293543,-,-
1781910126000,0.7120152,-,-
1781910135000,0.2597341,-,-
1781910144000,0.029862,-,-
1781910153000,0.0293445,-,-
1781910162000,0.0516388,-,-
1781910171000,0.0440279,-,-
1781910180000,0.0149302,-,-
1781910189000,0.5283549,-,-
1781910198000,0.125,-,-
1781910207000,0.1380471,-,-
1781910216000,0,-,-
1781910225000,0.0293525,-,-
1781910234000,0.0516188,-,-
1781910243000,0.1213876,-,-
1781910252000,1.2182947,-,-
1781910261000,0.1190268,-,-
1781910270000,0.0774328,-,-
1781910279000,0.0293516,-,-
1781910288000,0.0516211,-,-
1781910297000,0,-,-
1781910306000,0.0316805,-,-
1781910315000,1.0183074,-,-
1781910324000,0.2658638,-,-
1781910333000,0.2999987,-,-
1781910342000,0,-,-
1781910351000,0.0713597,-,-
1781910360000,0.1249659,-,-
1781910369000,0.1080084,-,-
1781910378000,1.6150552,-,-
1781910387000,0.1793459,-,-
1781910396000,0.009952,-,-
1781910405000,0.1,-,-
1781910414000,0.125,-,-
1781910423000,0,-,-
1781910432000,0.1567006,-,-
1781910441000,0.7746396,-,-
1781910450000,0.2300752,-,-
1781910459000,0.0599664,-,-
1781910468000,0.0149337,-,-
1781910477000,0.0126868,-,-
1781910486000,0.2182829,-,-
1781910495000,0.3569903,-,-
1781910504000,0.5714698,-,-
1781910513000,0.1826198,-,-
1781910522000,0.3650415,-,-
1781910531000,0.1119455,-,-
1781910540000,0,-,-
1781910549000,0.9228772,-,-
1781910558000,1.2332496,-,-
1781910567000,0.6253996,-,-
1781910576000,1.188381,-,-
1781910585000,0.6373536,-,-
1781910594000,0,-,-
1781910603000,0.603226,-,-
1781910612000,0.125,-,-
1781910621000,0.6877202,-,-
1781910630000,0.7400255,-,-
1781910639000,0.7503592,-,-
1781910648000,0.7599546,-,-
1781910657000,0.8054655,-,-
1781910666000,0.4632711,-,-
1781910675000,0.1413432,-,-
1781910684000,1.3016227,-,-
1781910693000,1.3173812,-,-
1781910702000,0.434794,-,-
1781910711000,0,-,-
1781910720000,0.0733568,-,-
1781910729000,0.0413145,-,-
1781910738000,0.672539,-,-
1781910747000,1.2811649,-,-
1781910756000,0.0932895,-,-
1781910765000,0.6917534,-,-
1781910774000,0.3296001,-,-
1781910783000,0.2039801,-,-
1781910792000,0.5851509,-,-
1781910801000,1.3226897,-,-
1781910810000,0.7649406,-,-
1781910819000,0.2467356,-,-
1781910828000,1.5615476,-,-
1781910837000,0.1746607,-,-
1781910846000,0.375,-,-
1781910855000,0.0253746,-,-
1781910864000,0.1865636,-,-
1781910873000,0.7000001,-,-
1781910882000,0.2300943,-,-
1781910891000,0.0873026,-,-
1781910900000,0.2916697,-,-
1781910909000,0.0746342,-,-
1781910918000,0.375,-,-
1781910927000,0.1801122,-,-
1781910936000,1.1072431,-,-
1781910945000,0.491293,-,-
1781910954000,0.4266211,-,-
1781910963000,0.1213799,-,-
1781910972000,0.5833416,-,-
1781910981000,0.3507254,-,-
1781910990000,0.4917728,-,-
1781910999000,0.5225146,-,-
1781911008000,0.125,-,-
1781911017000,0.0253752,-,-
1781911026000,0.1865619,-,-
1781911035000,0.2,-,-
1781911044000,0.25,-,-
1781911053000,1.2931484,-,-
1781911062000,0,-,-
1781911071000,0.1039777,-,-
1781911080000,0.125,-,-
1781911089000,0.5880272,-,-
1781911098000,0.3134146,-,-
1781911107000,0.3786373,-,-
1781911116000,0.75,-,-
1781911125000,0,-,-
1781911134000,0.125,-,-
1781911143000,0.6507281,-,-
1781911152000,0.4682938,-,-
1781911161000,0.0190227,-,-
1781911170000,0.275822,-,-
1781911179000,1.2919863,-,-
1781911188000,0.0398665,-,-
1781911197000,0.2206496,-,-
1781911206000,0.3451263,-,-
1781911215000,0.0492611,-,-
1781911224000,0.3115947,-,-
1781911233000,0.2173981,-,-
1781911242000,1.5000002,-,-
1781911251000,0.0880537,-,-
1781911260000,0,-,-
1781911269000,0,-,-
1781911278000,0.125,-,-
1781911287000,0.1,-,-
1781911296000,0,-,-
1781911305000,0.7,-,-
1781911314000,0.2350649,-,-
1781911323000,3.811948,-,-
1781911332000,0.375,-,-
1781911341000,0.2079589,-,-
1781911350000,0.125,-,-
1781911359000,0.4521985,-,-
1781911368000,0.6195038,-,-
1781911377000,0.138058,-,-
1781911386000,0,-,-
1781911395000,0.2427697,-,-
1781911404000,0.6449138,-,-
1781911413000,0.3293523,-,-
1781911422000,0.115041,-,-
1781911431000,1.1079673,-,-
1781911440000,0.0733788,-,-
1781911449000,0.0539798,-,-
1781911458000,0.2083344,-,-
1781911467000,0.2159308,-,-
1781911476000,0.125,-,-
1781911485000,0.3907043,-,-
